"","baseMean","lgFC_PMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Rapgef1",382.551101441921,-0.536110913671771,0.114148849066399,-4.69659499904307,2.64534230790211e-06,2.87169445703821e-05
"Adgrg3",173.957190539593,1.22541996511037,0.261101471838266,4.69327099722145,2.68870937754954e-06,2.91675795070401e-05
"Fam107b",505.033858383448,-0.920778429893898,0.196210041875339,-4.69282010794795,2.69464426237089e-06,2.92118021794538e-05
"Nt5c3b",69.2768878494288,-0.780773640990453,0.166429950004122,-4.69130490618494,2.71468054051343e-06,2.94087273716958e-05
"Bach2",352.640494514318,0.91545344183727,0.195161465226831,4.69074896918439,2.72206776665313e-06,2.94684457465706e-05
"Uap1l1",102.200976293682,-0.891827106846849,0.190237218194403,-4.68797386395491,2.75923246568923e-06,2.98502237633647e-05
"Mrpl33",204.486732739716,-1.01327059797503,0.216150042559565,-4.68781123508593,2.76142545676247e-06,2.98534021697726e-05
"Paics",324.366483303075,0.674518080616786,0.143912150750506,4.6870127164326,2.77221748025896e-06,2.99494753073475e-05
"Carmil2",97.0403803657717,-0.856512146812705,0.182777599913089,-4.6860892539347,2.78474859578086e-06,3.00641917424995e-05
"Galnt9",4.40245113093458,-3.34741852660305,0.714422948489897,-4.68548572477776,2.79296766031638e-06,3.01322296860077e-05
"Dennd5a",297.885202802026,0.507894084687213,0.10840320928711,4.6852310741284,2.79644255760255e-06,3.01490264492143e-05
"Plgrkt",285.243631147105,0.567931743876698,0.121268815430698,4.68324640477137,2.82366736754433e-06,3.04216774163326e-05
"E030030I06Rik",28.7141302127295,-1.10473377729596,0.235932373172213,-4.68241709453573,2.83511865588144e-06,3.05241302409592e-05
"Mmd",24.916067081928,1.21275862941157,0.259036696062995,4.68180241581156,2.84363500811495e-06,3.05948656348795e-05
"Ndufs7",409.88761078135,-0.461051313725463,0.0985130163486564,-4.68010554152269,2.86727274709152e-06,3.08280850284074e-05
"Aldh16a1",140.842705993612,-0.747854736693737,0.15983315199357,-4.67897133583292,2.88317741903654e-06,3.09778987353625e-05
"2810013P06Rik",19.1578298377552,-1.30347213108439,0.278614584526224,-4.67840595387677,2.89113720426498e-06,3.10422033564489e-05
"Gstm5",7.06572803330856,-2.59520799949067,0.554770963093119,-4.67798095455667,2.89713447600098e-06,3.10853630227026e-05
"Prmt3",130.979654477529,-0.660319488742281,0.141168644151531,-4.67752235428069,2.90361928789689e-06,3.11336913959422e-05
"Ddit3",150.936615971072,-0.843212032320419,0.180277656779646,-4.67729638482644,2.90681971604626e-06,3.11467614972946e-05
"Lrrc25",118.678315278385,-1.30012298773073,0.278077461683134,-4.67539864561987,2.93383148293134e-06,3.14147800273827e-05
"Armc3",18.8779727433699,-1.26565210929822,0.270752819975182,-4.67456667455665,2.94574925517886e-06,3.15209207230473e-05
"Dnajb2",43.6304156445371,-1.21594742040435,0.260233273390764,-4.67252863002839,2.97514029226471e-06,3.18137620776252e-05
"Sdsl",5.37042272293885,-3.55975557450725,0.762530773544311,-4.66834349250089,3.03637948930089e-06,3.24465324217e-05
"Tmem214",106.954042025431,-0.870766779799195,0.186571378815949,-4.66720450545739,3.05325397206533e-06,3.26046869476189e-05
"Parp12",123.082381870911,0.976234766806349,0.209269434388342,4.66496585925084,3.08668282506937e-06,3.2939285354559e-05
"Zdhhc18",118.773311080415,-0.770094096303286,0.165226955514148,-4.66082603717371,3.14942836607174e-06,3.35860681725114e-05
"Kctd14",38.0362191233066,1.40940465648716,0.302449305538477,4.65996988810363,3.1625564596554e-06,3.37032033825921e-05
"Otud4",31.2789388197124,1.40961910784289,0.302726065682917,4.65641802156332,3.21758312414335e-06,3.42663882983803e-05
"Cryl1",34.8116728645808,-0.804384402607403,0.17275303330867,-4.65626789412232,3.21992905813969e-06,3.42681549525374e-05
"Atp1b1",85.960982202198,-0.959203213573181,0.206038698095534,-4.65545173037555,3.23271139403255e-06,3.43809136690106e-05
"Tmod1",25.1678082698203,-1.20414693982918,0.258721861390242,-4.65421411765785,3.25218714293147e-06,3.45646583500606e-05
"Cuta",246.032399772308,-0.726350613648054,0.156075705833721,-4.65383519983494,3.25817246795149e-06,3.4604873664682e-05
"Hgsnat",49.925540070137,-1.0019401455631,0.215314347834766,-4.65338309146029,3.26532772243816e-06,3.46574520384912e-05
