"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Hgf",16.5269386602911,2.62275567192929,0.434323226455318,6.03871842943936,1.55343040204174e-09,2.42302656531396e-08
"Rnf122",39.8522482033256,-1.38898808620891,0.230013041969223,-6.03873621390028,1.55325922715802e-09,2.42302656531396e-08
"Atp6v0b",302.927202151159,1.4671774628555,0.243021771872762,6.03722642440309,1.56785656075951e-09,2.44320591695184e-08
"Timm13",353.003814376801,0.878467067113129,0.145542949182222,6.03579267871835,1.58184238295795e-09,2.4626614480035e-08
"Hnrnpf",423.900726095397,0.605649010138909,0.100352161599839,6.03523631662239,1.58730223325053e-09,2.46881917965952e-08
"Chpf2",184.050935998753,0.967331752213187,0.160366445881918,6.03200842229465,1.61934336420655e-09,2.51626943780921e-08
"Midn",247.509890740762,-0.816247146158054,0.135326306959868,-6.03169601310497,1.62247768530483e-09,2.518754620451e-08
"Smg5",162.805735705541,0.922409691648785,0.153001658451394,6.02875616503085,1.65226348563809e-09,2.56257008845325e-08
"Aqp9",77.0144236260604,1.63478749254297,0.271196796145717,6.02804869296677,1.65951057675225e-09,2.57137951406305e-08
"Kmo",88.1698725489184,-2.02295937854177,0.335604241857875,-6.02781230458486,1.66193895191646e-09,2.57271285490539e-08
"Lipe",112.178080783465,-0.750853433268967,0.12461323795661,-6.02547085350926,1.68618003995904e-09,2.60777834832119e-08
"Ccrl2",199.738738987696,1.44490153160059,0.239938348096394,6.02196998964131,1.72306848657121e-09,2.6623192840063e-08
"Ctns",50.5758675584448,1.35063729003099,0.224555269825731,6.0147209686024,1.80196814322673e-09,2.78160820905056e-08
"Btbd9",138.771415957538,0.895161364049866,0.148844988695819,6.01405107349112,1.80943460633632e-09,2.79050868941473e-08
"5031439G07Rik",208.88904990293,-0.749233964716228,0.12462140499561,-6.01208086799071,1.83156909219765e-09,2.82199222853251e-08
"Egr3",85.0135281645115,-1.43334857636975,0.238419578847412,-6.0118744580414,1.83390323751698e-09,2.82293791973886e-08
"Tle3",242.443478984706,-0.876208450848463,0.145878836877329,-6.00641237347728,1.89673409653488e-09,2.91691750609568e-08
"Nedd4l",65.8264956490188,-0.949568291662913,0.158209677061024,-6.00196087434431,1.94948684315296e-09,2.99523685480309e-08
"Ube2c",473.745110606949,0.997952098807254,0.166388334663248,5.99772875200056,2.00096385391431e-09,3.07145143862301e-08
"Il2ra",56.3925882564915,-1.44612909256164,0.241202783293086,-5.99549090113295,2.02871655145866e-09,3.11114111148459e-08
"Csnk1e",228.252998209589,0.741355588948778,0.123733497214763,5.99155124228015,2.07848811382349e-09,3.18449219978802e-08
"Golga7",96.1799637976,0.951573472024801,0.158908960512794,5.98816749511231,2.12218457943406e-09,3.24840734738185e-08
"Rrp12",76.0735550632615,1.00465848050718,0.167781777404437,5.98788793425081,2.12583448532214e-09,3.25096160947354e-08
"Atg4b",110.574317027493,0.929391999353895,0.155281459025517,5.98520908540131,2.16112063546161e-09,3.30184622972902e-08
"Vegfa",193.740303520178,-1.06206500117243,0.177492953734232,-5.98370233199626,2.18121782509587e-09,3.32945146902308e-08
"Casp7",58.7542272426778,-1.12736096427298,0.188428096761998,-5.98297697448452,2.19095750173816e-09,3.3412101901507e-08
"Gbp6",25.4736723488841,-2.23848209901856,0.374327650652194,-5.9800073414786,2.23127563898924e-09,3.39953592944981e-08
"Nrgn",102.835931568358,1.12948872808239,0.188944236028986,5.97789459906633,2.26039899369517e-09,3.44071308789833e-08
"Slc39a6",52.1089278878571,1.22550080150735,0.205042730299421,5.9768068817547,2.27553681826649e-09,3.4605452873897e-08
"Parp12",123.082381870911,-1.23604316865609,0.20687741035677,-5.97476141316963,2.30427163019734e-09,3.50099936851001e-08
"Scaper",26.9618206766595,-1.45543282628152,0.243642190475232,-5.97364858460125,2.32005281860849e-09,3.52171569847796e-08
"Atn1",72.6947429899626,0.880893363323499,0.147471491274286,5.97331291432526,2.32483364106027e-09,3.52571120297208e-08
"Cc2d1b",142.280777674313,0.765580363415978,0.128204532838562,5.97155456570335,2.3500343379072e-09,3.56063836110057e-08
"Pet100",265.134632622604,-1.16623793419194,0.195482194575693,-5.96595478541326,2.43207630412659e-09,3.68154428730749e-08
"Decr2",23.3590818843345,-1.56794737436672,0.262933298026777,-5.96328949636133,2.47209867585047e-09,3.73867900203045e-08
"Selplg",1238.71824733647,-0.620896126298261,0.104236996845816,-5.95658110926461,2.57569308426835e-09,3.89176315099073e-08
"Hdlbp",354.59927512794,0.730597980292678,0.122727057356665,5.95303102696774,2.63221371465006e-09,3.97350458543632e-08
"Il36a",5.74801611395644,4.59308997321874,0.771951124465656,5.94997510548102,2.68183275724889e-09,4.0446869222148e-08
"Gtse1",66.3594510449708,1.00158910120589,0.168381590213959,5.94832903011068,2.70893637175169e-09,4.08181238972208e-08
"Mid1ip1",133.142179946537,0.886819534929811,0.149117851620233,5.94710509368339,2.72926194278139e-09,4.10866598340366e-08
"Kctd9",22.6682716293962,1.45860115197654,0.245319638995195,5.94571701617865,2.75249310845843e-09,4.13984045982533e-08
"Ifitm6",176.102082233492,-2.28926518750612,0.385315301196568,-5.94127765078878,2.82809141103167e-09,4.24964761571599e-08
"Wipf1",311.434506452903,-0.75394542468111,0.126916839298728,-5.94046801706531,2.84209504800488e-09,4.2667829499279e-08
"Palld",20.137280113535,-1.71949841857699,0.28955429444377,-5.93843176071734,2.87761380465267e-09,4.31615767098223e-08
"Ctu2",205.793935088516,0.710950325066114,0.119730309728072,5.93793106090516,2.88641358775389e-09,4.32540279100032e-08
"Card19",266.544979200899,1.03477591585644,0.174377379794729,5.934117814332,2.95429641636018e-09,4.42299910861545e-08
"Slc41a1",91.2775901377057,-0.824442215981226,0.13893599233706,-5.93397147933504,2.95693218486876e-09,4.42299910861545e-08
"Mknk1",190.423223589663,0.714000338513084,0.120411470148108,5.92967046772916,3.03543237568595e-09,4.53628505033068e-08
"Gsdmd",276.212024695908,-1.07971419037913,0.182096948787116,-5.92933707879635,3.04160128247022e-09,4.54136810227969e-08
"Ptprc",1606.00716094036,-1.08854261746184,0.18366094232715,-5.92691403882079,3.0868045536831e-09,4.60467053830782e-08
"9830107B12Rik",36.4379863935574,1.52330695045714,0.257355620968425,5.9190739441593,3.23759389427843e-09,4.82522054597772e-08
"Bcl11b",109.568509633557,-1.33941667879552,0.226483746894734,-5.9139637928105,3.33971329718053e-09,4.97289977254404e-08
"Gm45222",16.5669471919059,-2.35418274908156,0.398241192304785,-5.9114496304537,3.39109965827032e-09,5.04483719787467e-08
"Rell1",42.7317876942718,1.11623244191946,0.188838705194463,5.91103630354797,3.39962089561569e-09,5.05293290544908e-08
"Spag5",60.2997859272295,1.00680576527667,0.170349479978896,5.91023679908741,3.41616285258078e-09,5.07292454733014e-08
"Bola3",259.847466185136,-0.705720454207138,0.119454953744483,-5.90783749091468,3.46627698555182e-09,5.14268888389871e-08
"Hcfc1r1",231.915798785168,-0.739242824817654,0.125134048729049,-5.90760734049554,3.47112156432499e-09,5.14522436757079e-08
"4930426L09Rik",6.17218952897831,-3.48287438399184,0.589640527373574,-5.90677577659993,3.48868066314235e-09,5.16505834445003e-08
"Snx30",110.266091511815,-1.01272692986923,0.171454632709034,-5.90667580028516,3.49079755255962e-09,5.16505834445003e-08
"Mex3b",20.2328548638219,-1.69530152523555,0.28715486395964,-5.90378829687465,3.55247977341022e-09,5.25158924341336e-08
"Dennd2d",67.1462784367679,-1.12305927777533,0.190480548445729,-5.89592631341731,3.72585225737745e-09,5.50292616483408e-08
"Inpp1",34.375576716327,-1.27214594853109,0.21579736423416,-5.89509493336858,3.74466029763297e-09,5.52573118919599e-08
"Rps6ka1",557.658691029297,0.8500824349493,0.144316419704922,5.89040690371498,3.85245850730408e-09,5.67969376876483e-08
"Eif4e2",340.183807580645,0.601167150715515,0.102076231929909,5.88939402787034,3.87614265218021e-09,5.70948157806329e-08
