"","baseMean","lgFC_PMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Adora3",47.4233762284723,0.83923238431762,0.222156478463358,3.77766333947376,0.000158306677333134,0.000812528704522803
"Slc8a1",13.4502059000438,1.76381514475579,0.466946367527005,3.77733989900624,0.000158512336406323,0.000813329871198048
"Maml1",72.5538482475323,0.639246519959155,0.169285253318878,3.77615006284702,0.000159271057525959,0.000816967421989201
"Gm31718",21.1284185978481,-1.22069204981055,0.323280258508656,-3.7759560557202,0.000159395093357566,0.000817348152157596
"Acad12",7.29750653746126,1.98874564066428,0.52689325811997,3.77447539898387,0.000160344729831148,0.000821960847172544
"Lrfn1",5.20385511321988,2.26884492379719,0.601168417433516,3.77405874627155,0.000160612913239249,0.000823078480119564
"Jtb",257.981361105338,-0.416946271537766,0.110515132260674,-3.77275277157799,0.000161456256689216,0.000827141965661361
"Supt3",54.2552941049232,-0.652370656162223,0.172945852936953,-3.77210927630651,0.000161873329544018,0.000829019807892572
"Vps39",78.6600433113521,0.650746339245031,0.172518999029688,3.77202709791429,0.000161926665309328,0.000829034212499459
"Casz1",92.5753104698573,-0.55744453916206,0.147793071832448,-3.77179073586094,0.000162080162194118,0.00082930407839389
"Galnt2",177.58087464283,0.471603967863391,0.125034514680554,3.77179028581248,0.000162080454592553,0.00082930407839389
"Capn2",170.103277277059,0.557624032192721,0.14787153005836,3.77100332952967,0.000162592503439568,0.000831664709769285
"Hspa4",94.5896429988903,-0.621052790936071,0.164887357820945,-3.76652764131552,0.000165533764541161,0.000846445479076321
"Col4a1",9.25844597497899,2.14946955115726,0.570799973500011,3.76571417475236,0.000166073692524375,0.000848916253490723
"Pde8b",1.96287356759652,4.34759341201111,1.15454183935639,3.76564388037658,0.000166120427202067,0.000848916253490723
"Spn",347.828760078817,0.612485539281908,0.162661421545185,3.76540136846013,0.000166281754384246,0.000849476123191496
"Ctsh",796.796826021149,0.481766337233724,0.128025375388057,3.76305350227206,0.000167851274272888,0.000857159820488302
"Ly6c2",2248.44593461289,1.09722205200378,0.291582086108114,3.76299541116853,0.000167890283566909,0.000857159820488302
"Arap3",155.580371385995,0.736039495049941,0.195617100603938,3.7626541482188,0.000168119620471742,0.000858063717673661
"Mrpl27",131.620171997733,-0.577202946225695,0.153416524638729,-3.76232578325518,0.00016834056779086,0.00085892424654236
"Gns",562.714843796891,-0.482931820604356,0.128394381230974,-3.76131584555551,0.000169021839007952,0.000862132221411714
"Npc2",1482.01679941193,0.62186081513402,0.165337654846844,3.76115662043266,0.000169129483494691,0.000862413205302793
"Pygm",7.0239779392141,2.79064412839395,0.742054356930779,3.76070041544715,0.000169438259039253,0.000863719289398916
"Psmg4",265.229439545721,-0.397723466084874,0.105768442812587,-3.76032260198446,0.000169694377785579,0.000864756225181233
"Lig1",136.443500758052,0.543942645734161,0.144685891862326,3.75947259772739,0.000170271925290666,0.000867429997545651
"Adssl1",89.1938837774306,0.744774339786494,0.198112246380639,3.75935538258214,0.000170351713700493,0.0008675671229396
"Srsf1",256.998658980439,-0.510372683896783,0.135866870567792,-3.75641745308418,0.000172363088688122,0.000877538294223826
"Ccna2",160.611509264588,0.827281458741357,0.220300507604853,3.75524081962276,0.000173174886308211,0.000881397862726874
"Tnf",320.405176478378,-1.70645422442755,0.45447266260081,-3.75480059606232,0.000173479534141255,0.000882674628131428
"Surf4",758.602391894451,0.420007162518169,0.111894281544434,3.75360703622179,0.000174308050962754,0.000886615253641607
"Slc35a4",155.071734658645,-0.558062829765708,0.148697786260394,-3.75300025508417,0.0001747306771883,0.000888489520292163
"Ghdc",23.5202269521996,1.29539016674887,0.345231784614831,3.75223320817378,0.000175266308482364,0.000890937068118685
"B3glct",18.2026505548844,-1.09983574210349,0.293147045384128,-3.75182270952896,0.000175553594915735,0.000892121071220901
"Nudt18",51.0702242389815,0.802480795918887,0.213899901954151,3.75166509468947,0.000175664018873451,0.000892405846964228
"Mylip",93.4294205051895,0.648272062357926,0.172801320763135,3.75154576073255,0.00017574766693173,0.000892554461987856
"Taf1c",69.827419795009,-0.643105414769508,0.171482465014548,-3.75026924598354,0.000176644796282292,0.000896833063798307
"Umad1",51.2858573506243,0.750215023757733,0.200102224146407,3.7491588459748,0.000177428681404344,0.000900534250901294
"Pigv",17.3277155070611,-1.19718986269226,0.319360491630196,-3.748709981567,0.00017774648395232,0.000901868291643048
"Btk",78.9428853013842,0.77409404176796,0.206627862470399,3.74631974852304,0.000179447837380753,0.000910219339592205
"Piezo1",115.741977898008,-0.694768189843678,0.185559735213844,-3.74417536780277,0.000180987214071931,0.000917743880008134
"Slc25a39",272.817792764382,-0.77296776485783,0.206484169169027,-3.74347228636729,0.00018149462870971,0.000920032549427751
"Tcirg1",240.896345620099,0.864423361998812,0.230927256266394,3.74327126201866,0.000181639953891791,0.000920484868255218
"Bad",54.7257644354117,1.10507220583201,0.295272470159371,3.74255075400546,0.000182161725175419,0.000922844010004154
"Oit3",11.9069100898526,1.73789624932572,0.464485915705709,3.74154778554538,0.00018289039261771,0.000926173510720739
"Rer1",475.679753259878,-0.301085190994812,0.08047198342413,-3.74149086655331,0.000182931826939235,0.000926173510720739
"Dhx15",371.839592570406,-0.645823387482177,0.172746012181269,-3.73857190291891,0.000185068563709139,0.000936499973855229
"Pgam5",104.595030996085,-0.590118344729809,0.157846902759084,-3.73854877362075,0.000185085588104851,0.000936499973855229
"Rps3",9612.77811824167,-0.40513283580004,0.108375661214636,-3.73822711907317,0.000185322495635663,0.000937409627276693
"Mgst3",14.5802040953629,-1.49743377341614,0.400586334934792,-3.73810497969156,0.000185412529339997,0.000937576022785826
"Tmem154",41.3640602683377,1.04330364034111,0.279136629527836,3.7376092206382,0.000185778395007635,0.000939136686284743
"Ptpn9",62.4206289312718,0.707132332963563,0.189269638750658,3.73611075517047,0.000186888378804269,0.0009444568548812
