"","baseMean","lgFC_LcDC_vs_LMoDC","lfcSE","stat","pvalue","padj"
"Eif2ak2",246.632502868967,-1.65705712613505,0.178907826005138,-9.26207177816504,2.00503329690079e-20,5.07757754405687e-18
"Samhd1",3243.00513699491,-1.18106123219889,0.127532659023223,-9.26085319042729,2.02805102428095e-20,5.07757754405687e-18
"Slfn1",281.249679023074,-1.73399851668829,0.189512963991793,-9.14976200131294,5.70591158007856e-20,1.40000246528808e-17
"Helz2",984.867108233821,-1.47804466359362,0.163527278745421,-9.03852051433354,1.58806523914558e-19,3.82007536349764e-17
"1600014C10Rik",276.611845955496,-1.72024808126065,0.190886993186897,-9.01186640609061,2.02579011420221e-19,4.68913077755335e-17
"Egr1",461.185402467258,-1.48491104775661,0.164748016351466,-9.013225656015,2.0008301869067e-19,4.68913077755335e-17
"Psmb10",846.061228481362,-1.08189217136763,0.120467542423341,-8.98077730817899,2.68860518628392e-19,6.10811267135762e-17
"Epsti1",675.933955986439,-1.34400060631262,0.151516434742039,-8.8703288762095,7.29301941981627e-19,1.62674113167829e-16
"Mrpl30",534.370643395029,-0.802524097935032,0.0909994471447356,-8.81899970951041,1.15486739856211e-18,2.52998450813571e-16
"Sp110",438.164466596663,-1.90039432984452,0.218392860962837,-8.70172368028048,3.26880723371973e-18,7.03539072689011e-16
"Oas1a",30.537222599162,-2.80683964353073,0.32423836371199,-8.65671665560202,4.85547683347032e-18,1.02701706539679e-15
"H2-T23",1014.11633875631,-1.50704270481627,0.17451781919339,-8.63546606175646,5.8488085246835e-18,1.21615564374266e-15
"Slc25a22",263.979483792015,-1.43363254559391,0.166249072829517,-8.62340175012017,6.49939400270777e-18,1.32890942708698e-15
"Oas1b",69.0134398781037,-1.94505913909236,0.226519525096833,-8.58671736249174,8.94894228905537e-18,1.79976432790379e-15
"Trim25",262.768873377241,-1.07460805840903,0.125382697010466,-8.57062484721738,1.02925032639316e-17,2.03658758132118e-15
"Phf11a",138.467011469512,-3.34808585273059,0.392632859453695,-8.5272685974095,1.49843670163702e-17,2.91790816756873e-15
"Parp9",420.570540052819,-1.21603487526634,0.144491901270796,-8.41593794926497,3.89763593479914e-17,7.4712808825181e-15
"Hmox2",385.237189623267,-0.982205329423504,0.118202829195322,-8.30949086506614,9.6113554601961e-17,1.8140324428567e-14
"Tpst1",214.651320948291,-1.41344015083753,0.170738963899321,-8.27836902929193,1.24873737453253e-16,2.32113789557047e-14
