"","baseMean","lgFC_LMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Aif1",117.017293241684,-5.11157541091595,0.290921080677444,-17.5703163174461,4.1584732920309e-69,3.63150231541298e-66
"Klf6",556.307408457095,-3.62996262282615,0.20706905065025,-17.5302036273752,8.42671598782021e-69,6.971555190134e-66
"Ptp4a2",572.198529034278,-1.51235285724737,0.0876568795076512,-17.253099422908,1.06054344331069e-66,8.33534119270034e-64
"Psat1",336.590588291842,2.79718259952033,0.16262758133508,17.1999274450069,2.65864189990592e-66,1.99005676307719e-63
"Klf2",1061.54818641629,-3.81394291671703,0.221956981316495,-17.1832527821174,3.54466222869965e-66,2.5326611624059e-63
"Cd3g",168.720765178919,-3.58823830646864,0.209010445281063,-17.1677463374782,4.63052666132406e-66,3.16466298214578e-63
"Naaa",183.061775874977,-3.68267541280069,0.214725197230549,-17.150643987285,6.2159788181316e-66,4.07120712675878e-63
"Cd63",1024.93686995306,2.49680943164143,0.148366086040172,16.8287072759026,1.50348937486908e-63,9.4533397934268e-61
"Junb",1521.83642302556,-1.87278743678166,0.11429504299325,-16.3855525815959,2.42554682683237e-60,1.46642963734531e-57
"Gpr84",162.409848604667,5.46298132166385,0.333638581398775,16.3739496156601,2.93531236858524e-60,1.70889537488116e-57
"Bcl3",350.007937467477,1.82187109804404,0.111538868289342,16.3339571755196,5.65916217248919e-60,3.17701322104848e-57
"Axl",206.738186688655,-2.64548693239397,0.163386591852754,-16.1915791399708,5.78253205101954e-59,3.13433176930952e-56
