"","baseMean","lgFC_PcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Enah",22.687720670352,3.3339846504729,0.502770217928081,6.63122939980866,3.32902385845196e-11,9.0029359027226e-10
"Rnf220",335.216480677076,-0.737599911636155,0.111368581023413,-6.62305207499312,3.5185699322454e-11,9.49954746077145e-10
"Zfand3",277.351683825988,-0.726304168404552,0.109695150994055,-6.62111462378054,3.56500387565341e-11,9.60876212390879e-10
"Smagp",57.0940294032892,-1.46121727484541,0.220761552837697,-6.61898440223281,3.61675007451506e-11,9.73190505812562e-10
"Fads1",94.1943582203727,1.28293649021534,0.193865731864451,6.61765479580659,3.64941995750526e-11,9.80339167180008e-10
"Mboat1",54.2854256821251,1.49577174557935,0.226427072814353,6.60597572095862,3.94907611888811e-11,1.05906442026408e-09
"Nek2",38.6690836908587,1.89401831797294,0.286844887171248,6.6029356027608,4.0309467378275e-11,1.07921880660768e-09
"Capn2",170.103277277059,-0.951758230240766,0.144264821142179,-6.59729948510989,4.18714415077648e-11,1.11917277268009e-09
"Gnb4",72.8930491721941,1.54774105700885,0.23466626392402,6.59549877825634,4.23828527464712e-11,1.13096037627793e-09
"Psmd7",439.247573487225,0.855148609943603,0.129670521004926,6.59478039662626,4.25885783491936e-11,1.1345653774485e-09
"Cxcl16",374.830025985368,0.970046526408135,0.147322340988435,6.58451745946857,4.56365100589608e-11,1.2137498304423e-09
"Zfp622",286.764502609194,-0.818132202823335,0.124342271074752,-6.57967878302218,4.71465697120037e-11,1.2518388361217e-09
"Ypel4",13.7365628422033,-7.44095992354948,1.13126516667776,-6.57755594596952,4.78243938792659e-11,1.26774102850912e-09
"Adgrg5",32.1113200971335,-1.4150300112038,0.21525730646352,-6.57366773955988,4.90907119235406e-11,1.29916506810503e-09
"Themis2",405.247560634223,-1.19245033819098,0.181675524014133,-6.56362679927222,5.25145385426544e-11,1.38748938675855e-09
"Hnrnpll",62.3031692825376,1.75077561973598,0.266836646599933,6.56122628598655,5.33670625612752e-11,1.40769867485111e-09
"Fbxo5",68.4177080035132,1.41125296572553,0.215232175373609,6.55688659595536,5.49427626661666e-11,1.44688613027754e-09
"Hs3st2",5.04162450618554,-7.33858617736295,1.12169860304033,-6.54238683856067,6.05446459209625e-11,1.59179900503166e-09
"Cdk1",184.956042237147,1.27670584310308,0.19520689574431,6.54027020016426,6.14077862924938e-11,1.61185405065788e-09
"Gstk1",11.997349899819,-2.38153623463015,0.364191878756978,-6.5392348746451,6.1834351775981e-11,1.62040298030891e-09
"Cct6a",720.798358179132,0.632565630217828,0.0968439119686698,6.53180584467169,6.49813608915750e-11,1.70009866671378e-09
"Atox1",488.551745653262,-0.962135304509624,0.147360469338352,-6.52912757966645,6.61538845408481e-11,1.72796097766534e-09
"Cbr2",5.92207860403423,-7.55113451326014,1.1576889807923,-6.52259340681667,6.91020014868634e-11,1.80203661020288e-09
"AI839979",13.9515023534228,-2.89309936814166,0.444663489562092,-6.50626695479497,7.70412687370803e-11,2.00582000160852e-09
"Cdc45",81.210970968639,1.30816790761699,0.201147659262306,6.50352041089914,7.84617701446725e-11,2.03949818058903e-09
"Ceacam15",47.5799527368517,5.10174462595494,0.785105101039647,6.49816772200199,8.13041338178954e-11,2.10996705274745e-09
"Gpd1",6.95802386469203,-4.22170515079434,0.650267297128888,-6.49226121232661,8.45574796224927e-11,2.19085702041245e-09
"Rplp2",9217.97742569937,-0.748444566535064,0.11535040477715,-6.48844334773694,8.67277556468239e-11,2.24346967264183e-09
"Arf2",49.5244173651387,-1.57645906121858,0.243096386784973,-6.48491358537966,8.87826564836821e-11,2.29293343047246e-09
"Cd40",340.691248295067,-1.00051135109073,0.154448461740525,-6.47796255019747,9.29694196632979e-11,2.39720827844497e-09
"Ppp1r14a",7.04013791445569,-3.93958407225142,0.608798329429041,-6.47108226454258,9.73034381234128e-11,2.50493979168991e-09
"Zfand2a",91.9320486788358,-1.11990269050042,0.173087744370168,-6.47014434543316,9.7909342039356e-11,2.51650507283234e-09
