"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Amz1",95.7612380329342,-3.33621213410309,0.298491971464206,-11.1768906806365,5.29114493712009e-29,3.10751957835525e-27
"Whamm",172.037097806172,2.78448751606257,0.249510966332563,11.1597800970048,6.41500527577597e-29,3.74814870107838e-27
"Plpp3",691.591054134082,2.64803194668051,0.237572935580334,11.1461852344923,7.47424548709861e-29,4.3446447485263e-27
"Spryd7",471.866595155952,2.82756037092626,0.253781245591583,11.1417231180145,7.85839982666729e-29,4.54464092016703e-27
"Cxcr4",94.0190121477401,-3.35691284548209,0.302082856648113,-11.1125566102298,1.08993515013989e-28,6.27127661260694e-27
"Myd88",357.682381403547,2.21729793299407,0.20055286534536,11.0559274691777,2.05204800362097e-28,1.17474566267898e-26
"Sbds",962.45396178922,2.73988980590164,0.248253166514548,11.0366761655831,2.5426563784928e-28,1.4482919623224e-26
"Sp140",188.048634996614,3.50194914961719,0.317398997955518,11.0332709686373,2.64081959465272e-28,1.49668450526943e-26
"Coro1a",348.230479457299,-2.21626610413755,0.201139265124727,-11.018565185486,3.10976368676661e-28,1.75369011888057e-26
"Fam241a",318.269867647229,2.89184549089443,0.262549501929369,11.0144771543783,3.25420440682864e-28,1.82605975006944e-26
"Nod1",100.429149346615,4.56434077469312,0.415316587219776,10.9900276443276,4.26795353952601e-28,2.38311592958263e-26
"Hivep3",296.890634888732,2.989448532934,0.272389892849443,10.9748878773059,5.04684288007118e-28,2.80421392380426e-26
"Tor1aip2",751.08208931592,3.02751461636923,0.276157531266192,10.9629985555273,5.75599987537099e-28,3.18264676035757e-26
"Arid5a",85.6779117915162,4.50914294122508,0.411376627446057,10.9611062962403,5.87764206227875e-28,3.23412974640435e-26
"Slc15a3",2091.43881700565,1.84208848425707,0.168494793426776,10.9326136837433,8.04959188449015e-28,4.40783207781139e-26
"Dok2",109.701795451315,-2.6327272415285,0.241259634292343,-10.9124232458146,1.00540000889541e-27,5.4789466830911e-26
"Arel1",254.46469856255,2.35945351581599,0.216295844797229,10.9084551209382,1.05025952186133e-27,5.69602472741538e-26
"Klc4",96.4602787685302,-2.90986914295044,0.267128665864867,-10.8931369590355,1.24284110879093e-27,6.70838284197392e-26
"Tap2",424.640561346927,2.28327072058673,0.210483096189827,10.8477628936413,2.04366084160859e-27,1.09786235258926e-25
"Pdxk",145.144721496148,-3.35774590421244,0.310377093317232,-10.818278721299,2.8202415995698e-27,1.50081871038139e-25
"Slc7a8",210.896508505794,2.37696097006377,0.219711300608812,10.8185649235032,2.81144975550966e-27,1.50081871038139e-25
"Lacc1",226.573049310064,2.69537608404539,0.249315870264224,10.8110890862617,3.05026989702161e-27,1.61564529358598e-25
"Abtb2",87.4833854710415,4.64064814833001,0.431043807130316,10.7660708066431,4.97794602450571e-27,2.62441945059406e-25
"Trim30a",136.864905226869,4.01479829304889,0.373359275255516,10.7531767901073,5.7255043265205e-27,3.00456442319953e-25
"Plek",642.587085348697,3.20985593257058,0.301885500738779,10.6326932718377,2.09959964111249e-26,1.09672635631383e-24
"Snx20",447.282451926178,2.10934786490366,0.199103545544127,10.5942255279235,3.16953624953463e-26,1.64801345818693e-24
"Tapbp",1928.70711050893,1.70553409254943,0.161487731609336,10.561384914833,4.49973452136002e-26,2.32897218263086e-24
"Nos2",3611.83442671785,7.83830488169948,0.746305398341411,10.5028114483954,8.38450454020967e-26,4.31992540742166e-24
"Vsir",134.048430950077,-2.86546997302989,0.273253537887607,-10.4864880988604,9.9664205456421e-26,5.11173651062684e-24
"Camkk2",291.89430681188,2.25219343203384,0.215101298525307,10.4703851044807,1.18161315721252e-25,6.03314645810988e-24
"Slc25a37",126.912630156734,3.16080944689049,0.301975257113259,10.4671140182356,1.22315278310544e-25,6.21723623161443e-24
"Cd47",596.448987548129,1.88967871694641,0.18170120127749,10.3999241813516,2.4813054801708e-25,1.25560703650607e-23
"Rhbdf2",267.183005093559,2.23889644650663,0.215319662929652,10.3980120349627,2.53159565929504e-25,1.27536163547152e-23
"Dtx3l",135.154943697991,3.31478696274658,0.318905764458699,10.3942522593563,2.63344315015198e-25,1.32079991623773e-23
"Bst2",1571.35844526783,2.51256116702139,0.241815353629664,10.390412061549,2.74166050290744e-25,1.36901858151788e-23
"Psmb8",1340.19086937774,1.90834362599604,0.183815870412974,10.3818218835437,2.99994743687945e-25,1.49142123671178e-23
"Sdc4",155.648872289102,3.80552398203878,0.366844491029701,10.3736707926484,3.26727468896879e-25,1.61722963316425e-23
