"","baseMean","lgFC_Treatment_6H_vs_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Rsrc2",176.191675747027,0.804527073252791,0.153259563683348,5.24944123496942,1.5256125672839e-07,1.49377934551091e-06
"Lat2",262.165299896593,-1.51264246563326,0.288265318444203,-5.24739664763398,1.5426353772525e-07,1.50937572089188e-06
"Adgre5",414.234855633961,-1.24972289048816,0.238265806465014,-5.24507863310072,1.56215687996792e-07,1.52739307696934e-06
"Nmnat3",60.1938041087065,-1.22999421020646,0.234677086315858,-5.24121988011637,1.59518494779352e-07,1.55858155380732e-06
"Ctdsp1",156.044247713197,-1.07172721350971,0.204588354279175,-5.23845659390402,1.61925048843772e-07,1.58097521149942e-06
"Snw1",383.266459388083,0.766482284059217,0.146407931837503,5.23525108537103,1.64760730059956e-07,1.60752406782684e-06
"Cep350",100.367946963959,1.15408084529215,0.220619049372901,5.2311024300602,1.6850210396878e-07,1.64286574300585e-06
"Slc30a1",55.8984593461183,1.2710783331722,0.243001684471654,5.23073877424281,1.6883394699393e-07,1.64493865305668e-06
"Ifi27",739.677354907012,-0.886420558624268,0.169509494393462,-5.22932689874426,1.70128309913519e-07,1.65637979080233e-06
"Xpnpep1",263.170531405275,0.731708427699716,0.139997252475194,5.22659134206485,1.72663539215795e-07,1.67987742385127e-06
"Tm7sf3",54.3516873786605,-1.58798775289483,0.303943079746361,-5.2246221701116,1.74511076578719e-07,1.69665596369274e-06
"Cnppd1",522.857471930466,0.829006347076603,0.158725764984559,5.22288455914672,1.76157218081542e-07,1.71145421172743e-06
"Cul2",66.5322845989907,1.29984549871605,0.249119759067102,5.21775351575356,1.81106248119404e-07,1.75582698457856e-06
"Fbxl20",49.2424675521643,-1.6967566610798,0.325181838425822,-5.21787031309515,1.80992113463569e-07,1.75582698457856e-06
"Rab31",250.413462842249,-1.49571456050172,0.286652048192057,-5.21787501584356,1.80987519382551e-07,1.75582698457856e-06
"Adissp",87.1468748976952,-1.14096274980821,0.218679620108712,-5.21750837705407,1.81346024584836e-07,1.75691696290196e-06
"Xylt1",27.6397280360287,-2.8085398721181,0.538424895578404,-5.21621473149198,1.82616464264384e-07,1.76798367788874e-06
"Pkig",158.514230147751,-1.19884985491771,0.229918326154849,-5.21424227014549,1.84570118277136e-07,1.78564470669801e-06
"Zer1",48.9970320465756,-1.47277011993948,0.282469843020663,-5.21390214328738,1.84909038077822e-07,1.78766999952462e-06
"Slc25a4",875.032500274684,-0.593093780444007,0.113815701351832,-5.21100141192831,1.87824022603414e-07,1.81457998307892e-06
"Pnkp",102.090735419471,-1.16708072756677,0.224022751160754,-5.2096526871474,1.89194455598715e-07,1.82654073438759e-06
"Parp1",90.8350444746884,-1.23104730099905,0.236509412750562,-5.20506683722305,1.93926795162711e-07,1.87091892731801e-06
"Eif4a1",970.615418745666,0.765876336349196,0.147162378770796,5.20429434986262,1.94735137343795e-07,1.87740458056953e-06
"Psen2",266.038658772624,-0.963552194227205,0.185234310945048,-5.20180191947836,1.97365519915906e-07,1.90143485527921e-06
"Casp4",43.543320511718,3.35624641521275,0.645640619787476,5.19831979641788,2.01097944633718e-07,1.93469124418883e-06
"Gba2",31.010928927425,-1.69114141338398,0.325319993921657,-5.19839371997294,2.01018003203996e-07,1.93469124418883e-06
"Orm1",37.0819678285554,-2.88754921509577,0.555570302159163,-5.1974506266329,2.02040178184014e-07,1.94240160155168e-06
"Fmr1",41.466091412872,1.52845657268516,0.294096126303863,5.19713262426972,2.02385977297325e-07,1.94437113007932e-06
"Ak6",113.318963092194,0.924682235183343,0.178157052585235,5.19026455458983,2.09995502855919e-07,2.01607373514284e-06
"Pcsk7",169.939745643636,1.05257692606765,0.202866974758283,5.18850802266753,2.11985630697888e-07,2.03376478519337e-06
"Crat",106.829657766189,-0.982096500554691,0.189316035854602,-5.18760334337953,2.13017719207013e-07,2.04224631979148e-06
"Cd47",807.585947151459,1.05424432142707,0.203234305296581,5.18733449005378,2.13325370930682e-07,2.0437755676109e-06
"Neurl2",44.7542799870824,-1.97268722208735,0.380412450043418,-5.1856536815822,2.15258493706099e-07,2.06086480164424e-06
"Oxsr1",55.800379019176,1.05693296044124,0.203886856720902,5.18391904922081,2.17271266192846e-07,2.07869236365915e-06
"Reps1",76.0585894095072,1.31738464194757,0.254369103128049,5.17902774254937,2.23045301387283e-07,2.13245528616698e-06
"Ptpn11",164.860817154265,0.737485696090634,0.142427188531609,5.17798394880879,2.24296523650179e-07,2.14293271487387e-06
"Ncapg2",35.5201807439236,-2.19853029008236,0.424744215697412,-5.17612767597662,2.26538460351476e-07,2.16285439377783e-06
"Ifnb1",4.24571438294912,6.29822844301558,1.2168478261988,5.17585544175235,2.26869069808501e-07,2.16451292329051e-06
"Ikbip",57.7572187001108,-1.38824251847648,0.268263773387277,-5.17491609451253,2.28013424806948e-07,2.1739275802603e-06
