"","baseMean","lgFC_LMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Ikbkb",263.496692066483,0.608793381869208,0.115389184792834,5.27600037180448,1.3203381965082e-07,1.37994654992768e-06
"Gpr160",28.8224778469198,2.09800407503004,0.397840885070003,5.27347528563055,1.33864288143277e-07,1.39814800353765e-06
"Prr5",56.6042492145577,1.26160740282257,0.239393490428389,5.27001549024977,1.36412246257344e-07,1.42381414270863e-06
"Dmtn",16.774115396385,-4.62790802719985,0.87819439366721,-5.26979910208079,1.36573154080802e-07,1.42454771665304e-06
"2310009B15Rik",93.8419887061114,-0.920327668303012,0.174672626440239,-5.26887175775011,1.3726481592434e-07,1.43081275962514e-06
"Tnfsf11",11.5462336417679,-2.68757554941999,0.510108474415953,-5.26863536720719,1.3744166956414e-07,1.43170682828278e-06
"Tfpt",32.1691187735454,1.68079171219705,0.319241130674845,5.26495977709396,1.40220053995387e-07,1.45968147599569e-06
"Siglecg",256.914106657616,-0.795742724135004,0.151146460845443,-5.26471291278663,1.40408593437372e-07,1.46067682345602e-06
"Rasgrp1",101.681960181694,-1.17901055120551,0.223963795050397,-5.26429082406023,1.40731526474514e-07,1.46306803217784e-06
"Ccser2",87.1914717733246,-1.20125568704029,0.228314501696198,-5.26140774289806,1.42956615066997e-07,1.48521813102321e-06
"Tnfaip8",348.390236814321,0.793717458026058,0.150960552224962,5.25778056802056,1.45804346122099e-07,1.51380351168644e-06
"Plec",285.940625617106,1.09302673800833,0.207992857827458,5.25511668730021,1.47930649500063e-07,1.53486592705709e-06
"Slc19a1",75.3081238434946,-1.1621926093824,0.221222049443414,-5.25351162918179,1.49226248830467e-07,1.54728720670588e-06
"Arrb1",102.716616065485,1.26699650557317,0.24125292057696,5.25173540922585,1.50672801518802e-07,1.56125627361506e-06
"Atp10a",69.5416869721533,-1.13010958585778,0.215261038491094,-5.24994952072824,1.52140896295039e-07,1.57543000583776e-06
"Camk2d",182.432868822405,-0.835992255199885,0.159267471917922,-5.24898301663701,1.52941173134896e-07,1.58267432554802e-06
"Recql4",19.6457588901182,2.10076724116119,0.400298050941194,5.24800766884024,1.53752899015916e-07,1.59002751291525e-06
"Wdfy3",32.1295262282176,1.77668165320086,0.338698708814638,5.24561094259499,1.55765293605969e-07,1.60977952017898e-06
"Man2a2",77.2156679251516,1.51243779632463,0.288344997914199,5.24523680752276,1.56081723095015e-07,1.61198988523689e-06
"Gsap",68.9542119912235,-0.981811614482267,0.187187794619554,-5.24506213921547,1.56229663796598e-07,1.61245836192956e-06
"Acaa2",113.822578812779,0.945366113463652,0.180300671836973,5.24327560087212,1.57750634911136e-07,1.62602113453649e-06
"Mga",49.7772521454224,-1.79995567266872,0.343281254207746,-5.24338468997618,1.57657352765148e-07,1.62602113453649e-06
"Gtdc1",30.7844511587834,-1.74661384409244,0.333138325703965,-5.24290875389859,1.58064717621125e-07,1.62731863727642e-06
"Rabggtb",134.798401551623,-1.75909634794694,0.335520568647362,-5.24288676261687,1.58083565056371e-07,1.62731863727642e-06
"Gm20559",139.477172941828,-1.1300302189421,0.215696406331345,-5.23898491477967,1.61462234605641e-07,1.66101103780502e-06
"Sec22c",38.4352793859153,1.4571248876118,0.278152284941361,5.23858679758458,1.61810870180478e-07,1.66350887401369e-06
"Map7",38.4494565264094,-1.27061280338055,0.242667182866502,-5.2360306341033,1.64066733175044e-07,1.68559802534544e-06
"Eci1",122.749634258747,0.774178560539734,0.147912969130825,5.23401406306026,1.65867824458814e-07,1.70298911343442e-06
"Gm5431",12.4847131552287,-2.25549610511882,0.431034089779444,-5.23275573464023,1.67001365486554e-07,1.71350813582451e-06
"Pdzd2",9.65764861254315,-2.84813012104586,0.544318888827739,-5.23246607733874,1.67263356278005e-07,1.71507677582124e-06
"Ski",58.8877816458078,1.28306097917681,0.245225004308644,5.23217843463437,1.67523918138451e-07,1.71662872830398e-06
"Zfp819",6.59218456021884,5.83443315189865,1.11562053187197,5.22976494714442,1.6972569782342e-07,1.73805748800413e-06
"Pdp2",27.3081125503773,-1.86923081309454,0.357466806855533,-5.22910317054967,1.70334295504368e-07,1.74315416082888e-06
"Gm11942",24.0101138444703,2.87329291489053,0.549708514656239,5.2269390745882,1.72339256524429e-07,1.76252490130612e-06
"Med6",49.5595699521363,-2.62877816554029,0.503041417355346,-5.22576884297249,1.73432921639907e-07,1.77255662890618e-06
"Rps24",3207.53591906432,-2.89355459945992,0.554250416984281,-5.22066291840423,1.78283787572669e-07,1.82095052427211e-06
"Gm3699",32.4104739706619,2.35191789601144,0.450678982946866,5.21861010831456,1.80270797138184e-07,1.84004977936047e-06
"Clptm1",315.745618459588,0.722144532286557,0.138391219362509,5.21813837332363,1.80730427202508e-07,1.84354418247646e-06
"Ms4a6b",221.223635702249,-1.08559917608106,0.208052614806497,-5.21790690826327,1.80956366882036e-07,1.84465183593951e-06
"St3gal2",37.2584705173994,1.47723643573233,0.283189588955971,5.21642211911257,1.82412219336475e-07,1.85828754099161e-06
"Setd3",196.226761806968,-0.637125655948223,0.122151382743309,-5.21586937159027,1.82957081394356e-07,1.86263106375511e-06
"Zfp783",20.1451535160337,-1.78446136572061,0.342264472221101,-5.21369148874983,1.85119246634152e-07,1.88342358436391e-06
"Esf1",24.7316802057304,-2.97479316487917,0.57059482316609,-5.21349483749743,1.85315690020525e-07,1.88420267233676e-06
"Cast",149.084227388994,-0.790022568058283,0.151556364793845,-5.21273104651799,1.86080586675489e-07,1.890756782128e-06
