"","baseMean","lgFC_CD3_CD28_vs_Naive","lfcSE","stat","pvalue","padj"
"Ipcef1",48.8270396970595,0.721041088886608,0.184102657554708,3.91651646132454,8.98376841942651e-05,0.000421604603826081
"Sephs1",29.3991183126663,0.953681989438774,0.243594061377421,3.91504613883486,9.03869215328763e-05,0.000424058267378541
"Phactr2",16.6853126121057,-1.20956567301936,0.308963331733344,-3.9149165897243,9.04354662044021e-05,0.000424162139885406
"Bysl",18.1624471345578,1.26376222083024,0.322816578994272,3.91479962016656,9.04793182187188e-05,0.000424243948588879
"Serpinf1",8.94554051610583,-2.43424606983623,0.621863600057772,-3.91443729719844,9.06152809967547e-05,0.000424757477073787
"Zfp524",88.7699638758901,-0.593129146177902,0.151556552995738,-3.91358297911792,9.09366308017743e-05,0.000426139450758373
"Slc38a2",553.088415048794,0.442375613448575,0.113041049778973,3.9134068049929,9.10030320372232e-05,0.000426326248657321
"Ampd1",2.94721055244993,-3.77707536412028,0.965198189844507,-3.9132640361963,9.10568761674965e-05,0.000426370031858296
"Kynu",28.5555716686502,1.34070180275332,0.342612634144427,3.91317093749715,9.10920038183312e-05,0.000426370031858296
"Plxdc1",8.04472907747135,-1.74189191287356,0.445133440990753,-3.9131904109396,9.10846551137974e-05,0.000426370031858296
"Clic1",1301.99240731734,-0.638793053300296,0.163288906379327,-3.91204195964393,9.15190055305988e-05,0.00042824389887665
"Nol7",633.199116460362,0.345189873518533,0.0882525757000086,3.91138582393238,9.1768036942865e-05,0.00042928414253063
"Bcl11a",180.863273570921,-0.650799333421577,0.16641695881547,-3.91065512826256,9.20461202444641e-05,0.000430459643553733
"Taf1d",108.153836332996,0.93479098615391,0.239072685946479,3.910070205022,9.22692998076748e-05,0.000431377774188151
"Slc6a9",100.058659935011,0.963138925417132,0.246354674303683,3.90956221204012,9.24635409366247e-05,0.000432160116847815
"Gm17745",7.59481895132399,-2.11117125986153,0.540078361390088,-3.90900915642624,9.26754517282637e-05,0.000433024565608734
"9930111J21Rik2",5.36520985185628,2.24090006963481,0.573359893217097,3.90836557656871,9.29226255513454e-05,0.000434053229676305
"Slc6a19",16.0158232873153,-2.04163852814567,0.522449223169982,-3.90782192335926,9.31319064335738e-05,0.000434904344461898
"Agap3",116.717317379209,-0.571763699743457,0.14639290317194,-3.90567908248881,9.39611423102924e-05,0.000438649168867346
"Cyba",1703.00887320271,-0.711587854378934,0.182259980577838,-3.90424629763984,9.4519485392436e-05,0.000441127546003513
"Ano8",24.2731518426881,-1.36682744125909,0.350098031509112,-3.90412775349613,9.45658210210322e-05,0.000441215611060662
"AW209491",31.1693777897507,1.03266475153467,0.26455669081725,3.90337794271859,9.48593986177707e-05,0.00044245684651448
"Slc26a2",50.3175867149503,0.856882393360988,0.219639706436972,3.90130913604584,9.56738796559418e-05,0.000446126328822365
