"","baseMean","lgFC_LcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Tubg1",78.9682940839834,0.644139933270822,0.161642260487941,3.98497231680868,6.74879930987476e-05,0.000340488203664413
"Perp",25.650495794185,1.19716120910441,0.300463183332962,3.98438569353025,6.76549129211813e-05,0.000341227593616615
"Aldh1a3",3.060588161381,4.54760325998817,1.14165640665139,3.98333792329587,6.79540215310543e-05,0.000342633051686071
"Zdhhc18",118.773311080415,-0.663436084585911,0.166557370496731,-3.98322861730657,6.79852972585907e-05,0.00034268762201194
"Ep400",197.885858153675,0.610898053922652,0.153385264148328,3.98276886188946,6.81169962859649e-05,0.000343248202337245
"Mrpl44",138.76648093215,0.538524702081754,0.135216595663727,3.98268200318414,6.81419044523553e-05,0.000343270477780882
"Mdp1",84.8529106820757,-0.771972478231937,0.193901071249802,-3.98126979524216,6.85480894864506e-05,0.000345212876268554
"Sdf2",184.646698886807,0.500909164347111,0.125819334111818,3.98117799528287,6.85745725107085e-05,0.000345242476687777
"5031425F14Rik",2.21113093244332,-4.88014345872158,1.22596024700319,-3.98067023025492,6.87212306781328e-05,0.00034587690598141
"Acsl5",76.4605492967573,0.777391982403039,0.195318173576805,3.98013133220984,6.88772056119471e-05,0.000346557831840292
"Casp7",58.7542272426778,-0.799311149048018,0.200853503964522,-3.97957283926302,6.9039205362699e-05,0.000347268653813276
"Ip6k1",329.040409905183,0.511525581514008,0.128541692419112,3.97945267319315,6.90741085359233e-05,0.000347339942532832
"Rnf144a",41.2169139640435,-0.851889341082213,0.214077169244212,-3.97935634187318,6.91021007755064e-05,0.000347376447192802
"Spata13",98.7709404448091,-0.931609681995561,0.234116379417882,-3.9792588810401,6.91304321543717e-05,0.00034741463429709
"Hmg20a",56.0701988313554,-0.736287156889985,0.185038560315714,-3.97910119725168,6.91762933220221e-05,0.000347436689031918
"Tnnt3",11.0714761145853,-1.78076191381123,0.447524942759737,-3.97913444294271,6.9166621663765e-05,0.000347436689031918
"Gm40634",5.05455132927724,-3.75369834996899,0.943437013025808,-3.97874823453243,6.92790542801473e-05,0.000347848532952912
"Chil5",1.44360912165963,-5.36998173873445,1.34990355938759,-3.97804843271222,6.94832205600487e-05,0.000348769131361179
"Zfp866",19.4653443545072,1.21143789038624,0.304559576827919,3.97767130820095,6.95934820626901e-05,0.000349217967044137
"Rbm22",225.850787548505,-0.494809652843245,0.124411750050621,-3.97719389560806,6.97333026536102e-05,0.000349814816156059
"Dhx15",371.839592570406,0.70356437151817,0.176908237909476,3.97700174865901,6.97896520114567e-05,0.000349992702619562
"Dis3",39.4108400919168,1.06316542943218,0.267369831485628,3.97638515731097,6.99707657520808e-05,0.000350795984493152
"Gm11837",1.8503958263742,-5.224818897968,1.31449686960713,-3.97476709056718,7.0448163563905e-05,0.00035308375127527
