"","baseMean","lgFC_MoDC_Treatment_48H_Wash_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Dedd2",49.984129152495,-0.853259512441278,0.362016123004559,-2.35696550020932,0.0184249585437997,0.0391016650597613
"Gm15859",1.35204649398339,-4.29301190240621,1.82184033717663,-2.35641500234826,0.0184522899733432,0.0391494821485801
"Pacrg",1.53072332794162,3.01987048550488,1.28155430542517,2.3564124225723,0.0184524181390092,0.0391494821485801
"Gm4332",98.1147742566525,-0.963316386524615,0.408922747691972,-2.35574174330416,0.0184857645501339,0.0392149950516791
"Txndc11",120.925265925875,-0.462059620397915,0.196180616919468,-2.35527662035843,0.0185089215870681,0.0392588779998565
"Rhbdf2",222.532010361409,0.414520845499458,0.176005458866886,2.35515902840811,0.0185147801464451,0.0392660626997952
"Sepsecs",21.9270265909141,-0.687746137934277,0.292039407070035,-2.35497717528699,0.0185238434628838,0.0392800412093636
"AI597479",27.9227322043096,0.630154231322588,0.267603767659186,2.35480328559924,0.018532513523429,0.0392931736548901
"Timm23",38.7862120708114,0.60312234372053,0.256129684860249,2.35475378049058,0.0185349824748821,0.0392931736548901
"5830444B04Rik",3.02879165418288,-1.73200420068604,0.735783950743262,-2.35395756993127,0.0185747311741309,0.0393721856491151
"Lhpp",19.324271158531,0.854211339121781,0.362899700601285,2.35384966619274,0.018580123716993,0.0393783627770178
"Kitl",7.15921487550177,-1.81086036460273,0.769551758282269,-2.35313654359621,0.0186157968274472,0.0394487057603773
"Clec2d",104.824978420451,-1.10737144697847,0.470695707370442,-2.35262703619041,0.0186413210198938,0.0394975262948516
"Med7",68.4385424731751,-0.440613055124876,0.187304358058696,-2.35239083431684,0.0186531641308961,0.039517349983441
"Mir6236",38.5286762114091,-1.53200271879408,0.651354791231637,-2.35202494772049,0.0186715226024077,0.0395482006823518
"Opa3",101.572905553581,0.586534839311157,0.24937690872115,2.35200140349407,0.0186727044822835,0.0395482006823518
"Kazald1",4.00446799857483,2.08313169163104,0.885795838538176,2.35170634247822,0.0186875215910698,0.0395743076849938
"Zfp606",3.39348899640687,-1.48358567325293,0.631071355443274,-2.35090003762069,0.0187280643555617,0.0396548793370895
"I830077J02Rik",24.4625409215395,-0.66383419793397,0.282508769663771,-2.34978262347054,0.0187843775686361,0.0397688174800878
"Top3a",35.0966123263692,-0.628732697024133,0.267580480575032,-2.34969567164609,0.0187887657981295,0.0397728083888196
"Tmem167",49.6793369170885,0.641436378343399,0.273146239383349,2.34832586306697,0.0188580148527847,0.0399140799248562
"Kics2",42.3647571966107,0.581187035402983,0.247523629870042,2.34800627199967,0.0188742034802934,0.0399430233215746
"H2ac13",1.0198000380358,-3.61175395209665,1.53863501355087,-2.34737538161271,0.0189061964040992,0.0400051000504258
"Pnldc1",1.23078417384042,-3.04668180730513,1.29793580836488,-2.34732857177528,0.0189085720547988,0.0400051000504258
"Sap30l",160.001918698627,-0.374677481283756,0.159632505438328,-2.34712523151187,0.0189188948269316,0.0400216109579438
"Gm9727",2.17604958276852,-3.08678677006371,1.31518524898723,-2.3470357293322,0.0189234400565019,0.0400258971056654
"Alkbh5",17.5795061974583,0.732741718574234,0.312242035496258,2.34671067721442,0.0189399553574758,0.0400554972281289
"Snx16",22.8135031888574,0.894734667408162,0.381305210330377,2.34650522250386,0.0189504006337307,0.040072253882
"Gm4468",2.47729706774121,-2.63254938473423,1.12194633714089,-2.34641292331581,0.0189550947454761,0.0400768463620586
"5033421B08Rik",2.63914292265217,2.4968952529321,1.06458297221661,2.34542099403789,0.0190056060647803,0.0401782962697304
"Ddx11",5.40075153345057,-1.31187312459342,0.559568275402043,-2.34443799311327,0.0190557787984082,0.0402790035024489
"Gm47826",1.07816606031254,-3.60704356591169,1.53859907348541,-2.344368736516,0.0190593180436214,0.040281125883892
"2310069B03Rik",0.98192947128293,4.07651274399842,1.73946496948957,2.34354402963035,0.0191015075296993,0.0403649226146285
