"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Dusp9",6.92609105211283,-3.87185021185019,0.847127970393829,-4.57056117513175,4.8641989740078e-06,2.40232196184866e-05
"Trib1",46.4502083379812,1.42258599749293,0.311474578082335,4.56726197769143,4.94136281463391e-06,2.43912008433368e-05
"Vcan",57.7966079405036,3.60718409559721,0.789795869376193,4.56723595990225,4.94197596986602e-06,2.43912008433368e-05
"Uhmk1",192.126025159481,-0.697142457180874,0.152705804562331,-4.56526494967857,4.98863875831475e-06,2.46133664356521e-05
"Cd69",344.523775138635,3.96984167965583,0.869602398925177,4.56512273259887,4.99202195544876e-06,2.46219192614252e-05
"Dhx15",331.017531069515,0.96660837591102,0.211743620328043,4.56499409244778,4.99508406405327e-06,2.46288832692418e-05
"Ssna1",98.0394334366832,-1.22995603647294,0.269504429496115,-4.56376928116751,5.02432931292725e-06,2.47648992719416e-05
"Gm11131",12.4105836890282,3.91378044920095,0.857696786029641,4.56312826741278,5.03970031608825e-06,2.48324619404481e-05
"Col11a2",19.0829216923976,2.70225814029609,0.592235487887621,4.56281022593643,5.04734340355231e-06,2.4861914289775e-05
"Arf4",679.066439041177,0.901679386420184,0.197619567991482,4.56270295287281,5.04992386352973e-06,2.48664182326563e-05
"Flywch2",9.80435856735059,-3.65238531596237,0.800777968952553,-4.5610462045301,5.08993782727281e-06,2.50551853799626e-05
"Crlf2",1097.90787342772,-1.26042236818935,0.276363076053064,-4.56074807890524,5.09717034774614e-06,2.50825148170495e-05
"Cenpa",94.495174555204,-1.17589171195422,0.257981880944532,-4.55803991989283,5.1633225051781e-06,2.53912976572597e-05
"Fnta",93.9242604587395,-1.25314230596608,0.274926248164194,-4.55810354352802,5.16175898469645e-06,2.53912976572597e-05
"Alg5",123.190903931992,-0.801286549360317,0.175832461069552,-4.55710250818454,5.18641157967917e-06,2.54964403250038e-05
"Arl4c",123.418438719554,1.18247383170313,0.259814462070125,4.55122406305455,5.33347123240478e-06,2.6204529970924e-05
"Vps35l",143.233333827762,-0.919423811454878,0.202017676556162,-4.55120476152627,5.33396060647686e-06,2.6204529970924e-05
"Art4",14.1465899558988,5.93906988003529,1.3051439583106,4.55050942251835,5.35161904363709e-06,2.62826305450094e-05
"Arhgap31",150.988923484822,-0.717195133685067,0.157634551422786,-4.54973308333591,5.37140064394823e-06,2.63711034904366e-05
"Fam13b",32.1005381458606,1.72562250966347,0.379328921898305,4.54914563600319,5.38641567187663e-06,2.643612426924e-05
"Cln5",264.18870013461,-1.18963516840937,0.261550614480976,-4.54839370486702,5.40569351435766e-06,2.65220169959855e-05
"Jak1",795.773955780596,0.795536388133792,0.174976477357232,4.54653334064798,5.45367341003217e-06,2.67486282105587e-05
"Adcy9",6.19968062517797,-5.75261940621724,1.26586567652825,-4.54441534586381,5.50879404587376e-06,2.70101022124395e-05
"Fbrs",280.071615715996,0.944679124027128,0.207897501786384,4.5439657326801,5.52056362172951e-06,2.70589202148811e-05
"Gpr160",19.0065805278604,-2.48060923419877,0.545974848097257,-4.54344965311825,5.53410276901861e-06,2.71163768311237e-05
"Eaf1",135.35234690487,-1.37909601569864,0.303568656075094,-4.54294601270526,5.54734622320342e-06,2.71723473519236e-05
"Pnrc1",1057.16295208992,0.820098715007647,0.180584461717734,4.54135813904918,5.58929898748793e-06,2.73688606916855e-05
"Pxdc1",36.5541588853416,2.71760966065343,0.598446294886478,4.54110867403556,5.59591757665351e-06,2.73922826603981e-05
"Ffar1",8.86418969384979,5.6515879183814,1.24491746139039,4.53972901309409,5.63265723931375e-06,2.75630850153304e-05
"Kcnq1",2.69609205018369,-6.1126289166506,1.34695164703672,-4.53812052578007,5.67578196299507e-06,2.77650100942974e-05
"Tubb2b",20.4296860468589,1.98260208904965,0.436955778177424,4.53730603430681,5.69773943564514e-06,2.78632899990182e-05
"Taf8",66.4804862221313,1.1283727687844,0.24874817637845,4.53620519037565,5.72754578829155e-06,2.79998758238622e-05
"Rpf1",139.062573224404,0.852803875648335,0.18801391073227,4.53585520521787,5.73705318214076e-06,2.80371705119355e-05
"Orai3",92.9039932238104,-1.01507103441283,0.223806969284333,-4.53547553795449,5.74738397578085e-06,2.80784634496004e-05
"Lgals8",185.096875777697,0.888353290442625,0.195968702545106,4.53313860277334,5.81136545608966e-06,2.83817504686316e-05
"Slc25a29",11.1982390932146,3.89509914825949,0.859319669612759,4.53277084884461,5.8214958358471e-06,2.84219252044547e-05
"Wdr4",57.1417488906532,1.49015087845923,0.328828065156996,4.53170223699661,5.85102848973089e-06,2.85567691985721e-05
"Ffar4",3.58098450233596,-5.79110192149191,1.27793000752637,-4.53162683979968,5.85311760839453e-06,2.85576267751841e-05
"Larp7",113.770773642073,0.825717380844325,0.182245140753847,4.53080602000576,5.87590726776899e-06,2.86594496638733e-05
"Shc1",134.574503136569,-0.886425493625869,0.195733983890809,-4.528725548857,5.93405158083275e-06,2.89335902789705e-05
"Lrrfip1",218.171117252962,0.924805463917993,0.204231576093709,4.52821978660957,5.94826943449687e-06,2.89881927485046e-05
"Rab24",132.877775531744,-0.946198465879995,0.208957368186023,-4.52818904685691,5.94913463240667e-06,2.89881927485046e-05
"Lcn2",1114.91688108085,4.29929410890076,0.949706043068331,4.52697352015421,5.98344342788982e-06,2.91458528594176e-05
"Taf1d",43.8955963943597,1.95605122392049,0.432190151687909,4.52590420277087,6.01378188853832e-06,2.92840765697992e-05
"Nup54",28.0919774829257,1.55157480403183,0.342852052187114,4.52549370532876,6.02546749946388e-06,2.93314097943569e-05
"Thrap3",79.8494666920232,1.3241562970402,0.292637308544079,4.52490594459094,6.04223709463371e-06,2.94034524412808e-05
"Bmp2k",164.652369162921,1.1940618789843,0.263955722964261,4.52372036330493,6.0761993162906e-06,2.95590856569874e-05
"Abca7",164.663902379266,0.924944888430354,0.20450800658144,4.52278081377719,6.10324337211204e-06,2.96809733883259e-05
"Cfap410",19.2449148677815,-1.9516682019184,0.431606094642802,-4.52187359294266,6.12946616066273e-06,2.97987890709743e-05
"Creb5",96.3640344409276,-1.13606941512844,0.251242819215598,-4.52179854801562,6.1316401201823e-06,2.97996511864933e-05
