"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Pdlim4",45.4450643265833,1.37574581326349,0.378253313456943,3.63710181595036,0.00027572296237468,0.00117284661216355
"H13",409.766389032643,0.476126683902218,0.130922032157205,3.63671932108803,0.000276132537351663,0.00117424678012415
"Mrps21",130.674584573728,0.820372888425964,0.225597304558486,3.63644809512023,0.000276423311177379,0.00117514108096747
"Ddi2",130.1679395938,0.668093378997776,0.183734218495189,3.63619463195022,0.00027669530135559,0.00117595503076126
"Commd9",52.2610816354622,0.979296812593676,0.269325159366385,3.63611336905015,0.000276782557287886,0.00117598361480215
"Ager",5.34862864331812,-3.39237444334265,0.933113677089843,-3.6355425138796,0.000277396239496125,0.00117790557876182
"Ric1",72.608388506301,-1.05381624634801,0.289863570486859,-3.63555946191514,0.000277378001623169,0.00117790557876182
"Htra4",37.1320833062415,3.16129801369794,0.869766136614474,3.63465290336912,0.000278355133356862,0.00118163372453786
"Ccna2",17.7846919515634,-2.63193819905111,0.724139628871312,-3.63457280076414,0.000278441626661903,0.00118165738859162
"Lig3",40.1469127064161,-1.16839615598047,0.321546181379751,-3.63368070790609,0.000279406595613136,0.00118540805221924
"E230014E18Rik",3.18878282084152,-5.02897452530796,1.38403169526529,-3.63356890056193,0.000279527757380432,0.00118557764769865
"Cyp2s1",3.94437271963588,-5.14014581897079,1.41470826662437,-3.6333609834879,0.000279753200869215,0.00118618931251253
"Tm2d1",98.1451060111787,0.928173866993236,0.255472402097622,3.63316686801481,0.00027996383312989,0.00118673783895379
"Smg1",36.6161342410093,-1.25284420747101,0.344930462689506,-3.63216457515027,0.000281053775206821,0.00119101226910772
"Aatf",33.7089160055623,-1.16274089414875,0.320265084480077,-3.63055778008509,0.000282809382421704,0.00119800060033024
"Amigo3",9.20738324455572,-2.92249615929321,0.805012631608195,-3.63037304576806,0.000283011883063336,0.00119800060033024
"Cd2bp2",118.972952555661,-0.737885725308562,0.203247010923578,-3.63048746427081,0.000282886444661272,0.00119800060033024
"Ovgp1",4.62495033514815,-4.42907266803688,1.22001070133708,-3.63035558883443,0.000283031025894634,0.00119800060033024
"Abhd6",13.6639133907062,-2.61638707364246,0.720750198493438,-3.63008859256843,0.000283323958457567,0.00119889300647808
"Nuak2",29.6860539335409,-1.99737252629799,0.550340154846314,-3.62934179653994,0.000284144808225543,0.00120201814441414
"Col5a1",17.0714567144117,3.19433181645825,0.880273236193245,3.62879579330639,0.000284746363735089,0.00120418038666221
"Gpat3",8.47415985196021,-4.84114481548308,1.33411610971707,-3.62872824952977,0.000284820862530389,0.00120418038666221
"Pcgf6",29.714838837615,-1.46141730833033,0.402759712806404,-3.62850916281388,0.000285062634427485,0.00120485373387686
