"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Cdv3",216.693205573515,0.814470014431566,0.208904070868781,3.89877521794758,9.66804712828252e-05,0.000654362908943335
"Nherf1",257.050255043671,0.556157070773177,0.142655405052089,3.8986049674746,9.67484600462076e-05,0.000654494845505572
"Tle2",8.54375522651226,-1.99279157700532,0.511340100444944,-3.89719401093575,9.73136591354608e-05,0.000657988548943977
"Crtc2",195.43075263082,0.705123356605394,0.18095804758983,3.89661231427335,9.75475807573848e-05,0.000659239934853112
"2410006H16Rik",357.326050140349,-1.2539040616214,0.32191966829648,-3.89508372774101,9.8164814727199e-05,0.000663079249028167
"Fst",16.8886703152407,3.36280157397561,0.863728070638027,3.89335681945771,9.88665651979098e-05,0.000667485324617805
"Nlrc3",14.3873020351297,-2.61065736583387,0.671090748286608,-3.89017040169196,0.00010017385382083,0.000675973165582958
"Acp5",954.990927029541,0.798092890613972,0.205166330748608,3.88997984075605,0.000100252549931959,0.000676166123878919
"Nin",96.5291883825629,-0.964708719859633,0.248019362043757,-3.88965083979788,0.000100388555110493,0.000676745224660946
"Grk6",95.7817591359044,-1.05756377022873,0.271942370071793,-3.888926061612,0.000100688784725926,0.00067843027391967
"Dhps",117.681881448785,0.761108653309133,0.195848279164032,3.88621567959589,0.000101819052078089,0.000685703556310322
"Smco4",10.6880608224376,-2.02836231457839,0.522062829790489,-3.88528391380096,0.000102210369943687,0.00068799558741147
"Btaf1",65.3465909668978,0.956703614908222,0.246246296040996,3.8851492602713,0.000102267038245608,0.000688033872463971
"Ube2e2",11.1382094768375,2.03501524672379,0.523858062852953,3.88466913278191,0.000102469339106684,0.000689051420320783
"Ago3",36.9345345111002,1.15518268190494,0.29761383585782,3.88148178183761,0.000103821930805457,0.000697799192306002
"Lrrfip2",260.129685210656,0.615991171051911,0.158784669382067,3.87941212113945,0.000104709221026367,0.000703412467382702
"Hnrnpa2b1",1040.15549181509,0.612475700156082,0.15794844661296,3.87769372405988,0.000105451352542014,0.000708045499456226
"Itpripl1",12.0083579894598,-1.72038067443107,0.443726137077537,-3.87712269049963,0.000105699064075203,0.000709355827329162
