"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Cd83",346.044328738961,0.895469335242958,0.174712446517879,5.1253894790565,2.96923301696101e-07,6.22373534937408e-06
"Hspa5",1092.50279826504,1.1102856991691,0.21668256859511,5.1240194648226,2.99090086362421e-07,6.25847279521229e-06
"Tmcc3",149.99448207772,1.19683899158866,0.233790368618675,5.11928270895013,3.06699912701721e-07,6.40679426482184e-06
"Tut4",182.070892689712,0.899249981248138,0.17571563263855,5.11764359121029,3.09376513552973e-07,6.45173466209028e-06
"Jun",230.554564774442,1.26137580330107,0.246513479006468,5.11686342014576,3.10658404196685e-07,6.46748674364048e-06
"Cd55",32.7289103269865,-1.71311250464581,0.334923677280269,-5.11493400095524,3.13850674385402e-07,6.52288973515379e-06
"Rftn1",315.076858796676,0.789046693313299,0.154386535421156,5.11085174080004,3.20709599241537e-07,6.65418244507398e-06
"Optn",52.5068641168025,1.17526110348011,0.230064930252956,5.1083887587209,3.2491760501059e-07,6.73012300564094e-06
"Kpna3",92.7174747618913,1.91296225104289,0.374845474857634,5.1033355858689,3.3371845186418e-07,6.90078071422175e-06
"Tm6sf1",156.056995915292,-1.08985066737658,0.213608972830677,-5.10208280548438,3.35935697372841e-07,6.93495490895899e-06
"Tmem243",184.675713808266,0.929498521204907,0.182198216989247,5.10157858053993,3.36832112616524e-07,6.94179335447779e-06
"Acox3",193.337411848907,-0.925256345745208,0.18144608811236,-5.09934579119858,3.40829411189696e-07,7.0124081367555e-06
"Tbrg1",203.256008888249,1.04179226632099,0.204533123843686,5.09351368982745,3.51487657827071e-07,7.21960351352828e-06
"Gm16181",42.8516432700405,2.3101790202693,0.453922333540432,5.08937069090814,3.59253734801338e-07,7.36680070878937e-06
"Gm12216",44.7021599433096,1.49403329543968,0.293688238568589,5.08714037280302,3.63502788966404e-07,7.42912605137161e-06
"Twf2",210.161385969582,-0.683999515136212,0.13444940323047,-5.08741205763267,3.62982610312986e-07,7.42912605137161e-06
"Asah1",406.421256300012,-0.837746888199429,0.164796829501371,-5.08351338271627,3.70516459881354e-07,7.55988982844297e-06
"Fosl1",19.7948210515182,2.17999259174251,0.429010224817393,5.08144670134708,3.74571116703269e-07,7.6299453175228e-06
"Ccnd2",968.860693844214,1.65173094251345,0.325167609548531,5.07962937885095,3.7817190752182e-07,7.68173732971881e-06
"Itga1",14.1758686014109,-3.30400048935025,0.650453637421585,-5.07953265116234,3.78364494380842e-07,7.68173732971881e-06
"Nub1",483.528060218578,0.894470838236048,0.17612181162034,5.07870564132188,3.80014956921139e-07,7.70251438261113e-06
"Dnajb14",54.5185629706266,-1.30804483436277,0.257793657583204,-5.07399928541917,3.89540517890646e-07,7.88258019975421e-06
"Rhoc",519.89906974653,1.26378593061167,0.249115865541209,5.07308487906247,3.9141780033428e-07,7.90754085774008e-06
"Gtf2b",182.585591244446,0.828217443533497,0.163305566492645,5.07158121625203,3.94523826866639e-07,7.95720224204092e-06
"Dcbld2",149.718429419984,2.47568826089217,0.488452780831699,5.06842904379981,4.01112456012976e-07,8.07682671673341e-06
"Prcp",139.336168605176,-0.924798629303714,0.182660262065571,-5.06294373415347,4.1283172456915e-07,8.29920142861354e-06
"H2bc4",328.194006383563,-1.11273144715068,0.219824844579151,-5.06190030194711,4.15098090089486e-07,8.33112719047247e-06
"Tm2d2",223.551957761077,-1.1345833677794,0.224288242994059,-5.05859492514485,4.22356987373823e-07,8.46298674700273e-06
"Manba",51.2584467544631,-1.44568432412404,0.285991046663689,-5.0549985427484,4.30394054997074e-07,8.60998400249032e-06
"Lrp8",72.8532696809698,1.32280261407931,0.262555196123555,5.0381886689335,4.69958078084531e-07,9.3861708505891e-06
"Cct3",544.598358432028,0.90066043708924,0.179005765382003,5.03146049607512,4.86757415711665e-07,9.7059112616662e-06
"Niban1",231.404318470315,1.42668219189826,0.284480709147277,5.01504019789144,5.30223791571988e-07,1.05554924341633e-05
"Nop58",193.952389706021,1.0990456149759,0.219222495676303,5.01337972449102,5.34822033100829e-07,1.06298042598341e-05
"Mrpl30",318.152060791457,0.94949079783751,0.189420112407664,5.01261870119708,5.36942312605223e-07,1.06502846963642e-05
"Rab11fip5",76.3924793977221,-1.88284171470596,0.375637661954522,-5.0123880148469,5.37586624745244e-07,1.06502846963642e-05
"H2-DMa",352.040608619083,-0.969640166518798,0.19359276303933,-5.00865916316203,5.4810538316728e-07,1.08411890844504e-05
"AA467197",807.518323080012,1.37757969448417,0.275079737658706,5.00792863265467,5.50189263229606e-07,1.08649111258026e-05
"Spsb1",48.0616459022304,1.03626946500199,0.207005780613921,5.00599288545811,5.55748097051417e-07,1.09570688219624e-05
"Alcam",258.206459796413,1.31744747535648,0.263197942400143,5.00553865787277,5.57060312662195e-07,1.09653394558169e-05
"Ralgps2",78.0712189505975,-1.21706601447237,0.243194530480681,-5.00449583330186,5.60084234001958e-07,1.10072234339937e-05
"Batf",161.54239190149,1.82291515062487,0.364376415610144,5.00283517958322,5.64932393017079e-07,1.10847677051578e-05
"Ttc38",25.4004906507197,-1.49392410275057,0.299193406237371,-4.99317188014943,5.93956536245526e-07,1.16356748559869e-05
"Mat2a",470.734784433327,1.03822674875525,0.208070286416911,4.98978862688232,6.04453969781248e-07,1.18060904714526e-05
"Timp3",12.990248782313,3.33991211916531,0.669354733616393,4.98974900964756,6.04577945660157e-07,1.18060904714526e-05
"Rbm17",231.202372245807,0.818895521652342,0.164396106726849,4.98123427590028,6.31799956059682e-07,1.23180934290176e-05
"Wnk1",239.183928427752,0.834710767524124,0.167700661838422,4.9773850524714,6.44490319859714e-07,1.25456015829427e-05
"Tpcn1",67.8044405575,-1.57674838412614,0.31684118545949,-4.97646283528295,6.47567025893723e-07,1.25855471187541e-05
"Il2rg",789.601016086322,0.937462345187,0.188602397247469,4.97057491775642,6.67546608008611e-07,1.29533570081671e-05
"Adssl1",100.749355556417,-1.26571462049522,0.254657405934385,-4.97026432768007,6.68616868821287e-07,1.29536608828578e-05
"Mir155hg",16.7929789595707,2.37091480066913,0.477232879223534,4.96804579878622,6.76309919089178e-07,1.30820704506652e-05
"Ms4a4b",28.4776924162673,1.42836042463594,0.287717210077147,4.96445945744068,6.88926751938331e-07,1.33051687013499e-05
"Bcl2l11",193.801341331288,0.669854247178583,0.134944398013776,4.96392778831914,6.90816373138781e-07,1.33207182280434e-05
"Apobec1",158.600360480904,0.762855906283438,0.153824816005859,4.95925121896054,7.07654071517086e-07,1.36240046401949e-05
"Eif6",420.154177669178,0.753193550820135,0.152053977179996,4.95346169030837,7.29047169485547e-07,1.40139067023333e-05
"Gm12185",5.79415744540466,5.33216845014765,1.07787513285515,4.94692593568184,7.53946463763498e-07,1.44473079787941e-05
"Gm15753",62.4752065777368,2.16569482722271,0.437774262173483,4.94705836855362,7.53433897788276e-07,1.44473079787941e-05
"Pfkfb4",49.5402180004841,-1.16422360038067,0.235636284994101,-4.94076538513502,7.7816497978387e-07,1.48881626895409e-05
"Surf1",101.996088298218,-0.953334832294991,0.193055007021837,-4.93815129170494,7.88666487991978e-07,1.50656150419992e-05
"Tbc1d1",102.43037284898,1.08993947824979,0.220873111329473,4.93468612675059,8.0279756333793e-07,1.53117429665835e-05
"Emb",332.285492115573,-0.524057574662641,0.106266989201863,-4.93151804336104,8.15930294413932e-07,1.55380958236997e-05
"Chst3",93.1548684681767,-1.02532618567761,0.207955225714408,-4.93051416310992,8.20134700407496e-07,1.55939853329803e-05
"Traf3ip3",87.6149876888064,-0.844232436249564,0.171240555623151,-4.93009633831991,8.21890758093117e-07,1.56032213008621e-05
"Dlgap4",330.864116714487,0.720324821439323,0.146150778021657,4.92864171638266,8.28032619060723e-07,1.56955627467945e-05
"Rapgef6",165.12870270888,0.806007624863304,0.163798646510637,4.92072213069821,8.62254760278004e-07,1.63190681363555e-05
"Rela",416.470538765792,0.81636869955808,0.166548618993197,4.90168399169629,9.50185975445649e-07,1.79555912867676e-05
"Wbp1",63.0686842021735,-1.02261436219435,0.208754007082461,-4.89865740297099,9.64937223733256e-07,1.82063347451852e-05
"Fam53c",170.257333265306,1.05324005967516,0.215198673469409,4.89426836464622,9.86721172486366e-07,1.85887977939418e-05
"Man2a2",53.2554550057433,-1.68487744400801,0.344584044885751,-4.88959796315189,1.01042129096782e-06,1.90061327977912e-05
