"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Cyp4f13",52.89018745567,-1.61879137996957,0.223257722402907,-7.25077440792027,4.1439539689981e-13,4.82641036294236e-12
"Rnf13",259.196251098048,-2.62937474749027,0.362770940469335,-7.24803024213715,4.22876207448085e-13,4.92128877496941e-12
"Gpr137",44.6365272702354,-2.21485828911116,0.305621687839889,-7.24705862586392,4.25919643920653e-13,4.95278890282435e-12
"Cstb",3344.69414986512,-1.70196939243585,0.23490121464007,-7.24546867517782,4.30946374270983e-13,5.00728370104751e-12
"Plac8",48.3036742849471,5.37279486660352,0.741755433873745,7.24335086909256,4.37732523101889e-13,5.08211950657363e-12
"Adam8",978.364851705114,-2.06453099191453,0.285033567651011,-7.243115289643,4.38493851944259e-13,5.08694366096218e-12
"Pik3r2",41.4494315980788,-2.16841667488948,0.299543639197563,-7.23906767207069,4.51779580396451e-13,5.23694060491079e-12
"Cgnl1",12.4225868460195,-4.12948428967074,0.570845771594776,-7.2339754363673,4.69056649358221e-13,5.43293174177908e-12
"Snx1",325.446198343246,-1.03745545926267,0.143491242477949,-7.23009600688414,4.82652704625631e-13,5.58601202599767e-12
"Tecpr1",388.978017440696,-1.66417550853244,0.230231308704182,-7.22827628396401,4.89162805303615e-13,5.65690634120769e-12
"Pttg1",233.526233557277,2.14421040598063,0.297004085771991,7.21946433971528,5.21927525131648e-13,6.0310714019533e-12
"Gmpr",10.3457669983042,-4.79615758949286,0.66456549815488,-7.21698252889905,5.31538028162031e-13,6.13730329220053e-12
"Rnf166",232.521419114901,-1.16195794672258,0.16101044424718,-7.21666195106429,5.32792027836142e-13,6.14695743487815e-12
"Sh2d2a",54.1142485374532,4.83749917609791,0.670610480614095,7.21357526602937,5.45015761882452e-13,6.2830578818894e-12
"Prxl2c",53.5765949620636,-1.8712336605618,0.259664926495341,-7.20633966942537,5.74759256826003e-13,6.62075854965583e-12
"Tef",54.8081194070628,-1.80222189949813,0.250164920661908,-7.20413515503956,5.84134047481488e-13,6.72348344166877e-12
"Nol7",326.287153521119,1.10320255671602,0.15319155847111,7.20145788531861,5.95721277344591e-13,6.85149334616023e-12
"Spcs1",134.639759363426,-2.16140765432177,0.300305472851879,-7.19736351720718,6.13879444560103e-13,7.05481767928056e-12
"Ccl17",744.806336013066,5.99698627370516,0.833486902795654,7.19505759909396,6.24344029853809e-13,7.16947750128769e-12
"Sord",26.9826649871165,-2.54874208609584,0.354333640309557,-7.19305704044689,6.33564576565477e-13,7.26968402595801e-12
