"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Tef",54.8081194070628,0.822699931862702,0.240735242140011,3.41744700339397,0.000632113995620056,0.00249349239345633
"Zmym3",39.2412370829727,-0.927685642382209,0.27155049486722,-3.41625465582679,0.000634888449345501,0.00250375116377533
"Etfrf1",19.4486071572826,1.37765427571036,0.403354823783978,3.41548977346106,0.000636674201078915,0.00251010633298928
"Lsm4",389.16325911034,-0.470839978509859,0.137906456102303,-3.4141982313038,0.000639700141306204,0.00252134616570648
"Ahr",43.4726560231809,-1.17399784979316,0.343897887342325,-3.41379779581063,0.000640641030582861,0.00252436397335249
"Smim29",188.08866920191,0.782868911517761,0.229330869177768,3.4137092591356,0.000640849235803281,0.0025244938722948
"Bbs5",4.79684892859722,2.46587413145608,0.722591978817686,3.4125401384759,0.000643604480675168,0.00253465449661194
"Taf8",56.5965223642928,-0.944129294409306,0.276674159375836,-3.41242310644123,0.000643880893701286,0.00253505005593352
"Tmx4",17.5637486116491,1.25472321070203,0.367740673809402,3.41197833164451,0.000644932396040523,0.00253849620146442
"Camk4",4.91616619259969,-4.0612583897686,1.19035046440272,-3.41181736910264,0.000645313324712848,0.00253930176340161
"Gm7027",6.44728952690413,-3.84292651174133,1.12648559381931,-3.41142978909478,0.000646231417599841,0.00254222004422264
"S100a16",4.62911288311082,-5.0688809383202,1.4861828607385,-3.41067110395918,0.000648032095451498,0.00254860779881908
"Lrrc8d",163.239562835122,0.881552616251127,0.258505293528088,3.41019173812524,0.000649172236021031,0.00255239498693203
"Foxp3",4.3759616372377,-4.44926395640776,1.30478388215829,-3.40996238323244,0.000649718401346547,0.002553845372387
"Gm17084",23.0904255304499,1.30396243578041,0.382444860891221,3.40954362085493,0.0006507167073814,0.00255707170936619
"Opa1",59.5479839982484,0.738222015309708,0.216558557985812,3.40887943739482,0.000652303009544588,0.00256260626002163
"Scimp",21.3387546677612,-2.88053090606729,0.845046585942631,-3.40872438748939,0.000652673840285113,0.00256336405211214
"Atf6",40.6526628150664,1.5206681138441,0.446135149290996,3.40853688901393,0.000653122539714977,0.00256442717556118
"2310039H08Rik",29.8177203323737,-1.09277727461418,0.32061187766818,-3.40841169878666,0.000653422290024313,0.00256490504362132
"Slc23a1",6.16028134942878,-4.32992789317513,1.2705459946449,-3.4079269160069,0.000654584241212916,0.00256876616151274
"Dolk",31.8437750479459,1.24363802838288,0.364966347844047,3.40754164248125,0.000655509053765656,0.00257169483348258
"Hnrnpul1",272.062299352748,-0.660629247193554,0.193963165374583,-3.40595208331305,0.000659337502435389,0.00258601036212475
"Rhobtb1",6.51936732035729,-2.82417158180393,0.8292199515666,-3.40581720985895,0.00065966329985738,0.00258658396781312
"Napg",101.448623085714,0.666272945701131,0.195632603311108,3.40573572310736,0.000659860210042034,0.00258665202336477
"Ankrd50",38.2330485376034,1.34623268689928,0.395301431566487,3.40558515450975,0.000660224198152119,0.00258667114456878
"Peli3",4.21024654408836,3.08597939089811,0.906143588317947,3.40561852523456,0.000660143510867942,0.00258667114456878
"Tcea2",8.36957516620505,-1.95641796906296,0.574689949569597,-3.40430169438005,0.000663334452319589,0.00259815011422404
"Enah",8.66205194926811,-2.46111632650382,0.723004247075384,-3.40401365062411,0.000664034348235365,0.00260018451228015
"6330403L08Rik",6.20890431297517,2.30302444511975,0.676829301535489,3.40266658062083,0.000667316616150568,0.00261195461306665
"Rac2",89.6499058057956,-0.77120650493329,0.226650036323715,-3.40263128761121,0.000667402813459554,0.00261195461306665
"Ttf1",82.5507961153092,-0.8332499616856,0.244895786293734,-3.40246753239838,0.000667802893809791,0.00261281056171207
"Smad4",188.880033510924,-0.697296379054543,0.204952570429632,-3.40223290487568,0.000668376515264591,0.00261434484900942
"Egfl7",5.63915835410619,-4.67829607632198,1.3752762539084,-3.40171370153939,0.000669647501521657,0.00261860529503827
"Gm19253",2.41748232656584,4.22123677843776,1.24147284333672,3.40018454780879,0.000673403867318599,0.00263257967777252
"Mau2",30.9045235152185,-1.32598714541061,0.390110066548851,-3.3990077650164,0.000676307962260667,0.00264321554648051
"Mfhas1",116.689971520149,0.773169062953049,0.227517359062901,3.39828603029491,0.00067809483346249,0.00264948038265816
"Yipf3",173.736656429475,0.646209702748553,0.190210676159065,3.39733665742377,0.000680451975089828,0.00265796940161173
"Ppm1d",42.1698885586235,-1.20401773424611,0.354448697222621,-3.39687448051161,0.000681602241253587,0.00266174082068289
"Yeats4",177.433890478804,-0.650444517566436,0.191565449415902,-3.395416655507,0.000685242330143611,0.00267523062548749
"Gm7776",16.4211031245977,-2.52167162882303,0.742761653745159,-3.39499436475785,0.000686300131490969,0.002678634433557
"Rnf32",3.24169406688984,-4.82269293108946,1.42089615871389,-3.39412060586797,0.000688493641905336,0.00268646787792207
"Cerk",185.449847597011,1.01100897498922,0.297946393725877,3.39325796948357,0.000690665620932565,0.00269421308831696
"Prkab2",14.1163229142788,-1.80925581739146,0.533353076782544,-3.39222908079167,0.000693264523733007,0.00270361903868373
