"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Treatment_6H","lfcSE","stat","pvalue","padj"
"Slc38a7",60.0318287912615,0.952799330435375,0.222518386502773,4.28189034358067,1.85312302557918e-05,7.92619258775507e-05
"Mtf2",61.7180851601717,0.880780958680303,0.205721361384517,4.28142684236871,1.85698774017055e-05,7.94046053636584e-05
"Rpl10a",793.770762516085,-1.09287979971474,0.255273096755517,-4.28121808997923,1.85873084279941e-05,7.94565095186435e-05
"Cntrob",10.0119500178679,-2.8059255249853,0.655417777685591,-4.28112513959199,1.85950748891834e-05,7.94670820698294e-05
"Ipo4",101.514449736219,-0.773219481047754,0.180674643448355,-4.27962367208863,1.87209589424001e-05,7.99822870239763e-05
"Map2k3",156.991601054048,0.746215897735852,0.174405216345283,4.27863290658986,1.88044694991061e-05,8.0316216384091e-05
"Depdc7",9.58297058705361,-2.3301553247422,0.544623731994705,-4.27846821182015,1.88183857930843e-05,8.03527946278655e-05
"Ftsj3",98.8026502160732,-1.1072067975826,0.25880438314313,-4.27816091882133,1.88443775103478e-05,8.04408983687381e-05
"Gmpr2",84.1156156277183,0.765606833732291,0.17896546457932,4.27795851859991,1.88615157723658e-05,8.04911700655283e-05
"Gm38220",2.91391719295049,-5.06424783496346,1.18408013876462,-4.27694686294384,1.89474006213874e-05,8.08347046117899e-05
"9430015G10Rik",20.3615581462451,-1.50873556581078,0.352793020295933,-4.27654596041952,1.8981538324051e-05,8.09573394485733e-05
"Cdk2ap1",198.71634647554,-0.991400439178491,0.231986350317834,-4.27352918747254,1.92403085026795e-05,8.20150721680918e-05
"Mid1ip1",104.832025573267,0.780216369204107,0.182569642923483,4.27352738774378,1.92404638763751e-05,8.20150721680918e-05
"Cdipt",206.383012304987,0.640467729631717,0.149932888227809,4.27169607150224,1.93991853751626e-05,8.26447134044599e-05
"Golt1b",43.2404314282783,0.938210685182362,0.219631518512088,4.27174884341897,1.93945941967744e-05,8.26447134044599e-05
