"","Input-node Gene Symbol","Input-node GeneID","Output-node Gene Symbol","Output-node GeneID","Edge direction score"
"8647","Hsd3b4",15495,"Dnajb11",67838,0.415905441534009
"8648","Hsd3b4",15495,"Cltrn",57394,0.415905441534009
"8649","Hsd3b4",15495,"Slc6a19",74338,0.415905441534009
"8650","Hsd3b4",15495,"Lrp2",14725,0.415905441534009
"8651","Hsd3b4",15495,"Purb",19291,0.415905441534009
"8652","Hsd3b4",15495,"Rab11a",53869,0.415905441534009
"8653","Hsd3b4",15495,"Rpl26",19941,0.415905441534009
"8654","Hsd3b4",15495,"Vapb",56491,0.415905441534009
"8655","Hsd3b4",15495,"Nsf",18195,0.415905441534009
"8656","Hsd3b4",15495,"Pabpc1",18458,0.415905441534009
"8657","Hsd3b4",15495,"Sdhc",66052,0.415905441534009
"8658","Hsd3b4",15495,"Sdhb",67680,0.415905441534009
"8659","Hsd3b4",15495,"Vps35",65114,0.415905441534009
"8660","Hsd3b4",15495,"Picalm",233489,0.415905441534009
"8661","Hsd3b4",15495,"Serpina3k",20714,0.415905441534009
"8662","Hsd3b4",15495,"Acadvl",11370,0.415905441534009
"8663","Hsd3b4",15495,"Acsl1",14081,0.415905441534009
"8664","Hsd3b4",15495,"Ndufv1",17995,0.415905441534009
"8665","Hsd3b4",15495,"Slc25a4",11739,0.415905441534009
"8666","Hsd3b4",15495,"Coro1c",23790,0.415905441534009
"8667","Hsd3b4",15495,"Bsnd",140475,0.415905441534009
"8668","Hsd3b4",15495,"Canx",12330,0.415905441534009
"8669","Hsd3b4",15495,"Stau1",20853,0.415905441534009
"8670","Hsd3b4",15495,"Tln1",21894,0.415905441534009
"8671","Hsd3b4",15495,"Eef1g",67160,0.415905441534009
"8672","Hsd3b4",15495,"Atp6v1g1",66290,0.415905441534009
"8673","Hsd3b4",15495,"Epb41l1",13821,0.415905441534009
"8674","Hsd3b4",15495,"Hsd17b4",15488,0.415905441534009
"8675","Hsd3b4",15495,"Got1",14718,0.415905441534009
"8676","Hsd3b4",15495,"Lcp1",18826,0.415905441534009
"8677","Hsd3b4",15495,"Cnn3",71994,0.415905441534009
"8678","Hsd3b4",15495,"Glg1",20340,0.415905441534009
"8679","Hsd3b4",15495,"Por",18984,0.415905441534009
"8680","Hsd3b4",15495,"Vdac2",22334,0.415905441534009
"8681","Hsd3b4",15495,"Fbp1",14121,0.415905441534009
