"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Piezo1",294.690548850402,1.18110720944138,0.30631022942251,3.85591826844351,0.000115296007846358,0.000762473793043075
"Rreb1",105.85862095098,-0.766096823045719,0.198689480078218,-3.85574929656129,0.0001153756839082,0.000762631034670337
"Cdkn2d",105.636770112697,0.900631395147901,0.233753453336948,3.85291161388607,0.00011672153245759,0.000771153446643536
"Nup98",106.300790273559,0.91637585679527,0.237876160171281,3.85232322623435,0.000117002438328891,0.000772635172372247
"Acvr1",33.8755621086583,1.49039280191055,0.386908268256944,3.8520572553926,0.000117129626267828,0.000772727026678904
"Pigo",39.29570551674,-1.61391775816499,0.418963143222613,-3.85217120950291,0.000117075117164018,0.000772727026678904
"Fmr1",57.6624481178646,1.25062379596819,0.324698650787278,3.85164457239312,0.000117327230466928,0.00077365655159995
"Phgdh",52.0865164931975,1.56784805166493,0.40715229410063,3.85076560879559,0.000117749151229507,0.000776063608803945
"Tmco1",251.587201929576,-0.613203693329819,0.15935108324768,-3.84813005868754,0.000119022863320206,0.000784079635092984
"Gpr141",12.5154090675304,2.79060229480263,0.725349619742473,3.84725133762861,0.0001194504128002,0.00078613699075404
"Pccb",50.9657104435996,-1.18321273983404,0.307540910856505,-3.84733444581008,0.000119409913860912,0.00078613699075404
"Ap2a2",39.2382482028069,-1.00756795280586,0.262076121128365,-3.84456221523649,0.000120767843640938,0.000794424151780771
"Dse",67.4028569905538,1.34382607723275,0.349823629575756,3.84143883837252,0.000122315215231044,0.000804215171757657
"Cd84",552.835109477398,-0.898423760290484,0.233909502095698,-3.84090322214836,0.000122582438508422,0.000805583915496338
"Psmc2",517.280150892137,0.628568776057108,0.163848999694741,3.83626862067002,0.000124917773847511,0.000820535959846698
"Ghitm",333.908252422041,0.937662947611647,0.244484800381194,3.83526070393607,0.000125431176314959,0.000823511808693451
"3110082I17Rik",39.0807459232018,-1.18415510605126,0.308811154230029,-3.83456066865125,0.00012578892293156,0.000825066478632341
"Tesk2",11.420525110683,-3.0999660338837,0.808405063605268,-3.83466924373122,0.00012573337368699,0.000825066478632341
"Spata13",47.5512064378784,2.11248341562463,0.551176492793734,3.83268053562506,0.000126754513879355,0.000831000400219146
"Gk",24.7075548513895,1.30891164099938,0.341535394058224,3.83243336933986,0.000126881970859077,0.000831436468986741
"Crtc1",24.8246997279959,-1.44553426530097,0.377199583625424,-3.83227958898399,0.000126961332185107,0.000831557107537885
"B230307C23Rik",24.3001665014161,1.33386517971839,0.348157391478906,3.83121315923348,0.000127512972429974,0.000834769425557647
"Zfp710",318.005651759509,0.807740734449829,0.210925515627998,3.82950698043765,0.000128400241228765,0.000840174815867648
"Tmem175",56.9261087211823,-0.823154937546388,0.215118738973854,-3.82651433098275,0.000129970586214943,0.000850042525278266
"Cisd1",99.1408034061648,-0.716898360304027,0.187422562043457,-3.82503767149336,0.000130752091469374,0.000854599439419348
"Plekho1",564.196680924103,-0.971796772465892,0.254067084155635,-3.82496133135685,0.000130792613758528,0.000854599439419348
"Htt",52.9041930347522,-1.01359634734014,0.265087197539341,-3.82363372033353,0.000131499221384171,0.000858805111222713
"Gdpd5",9.7962410563105,-2.42625117116873,0.634646708163269,-3.822994967059,0.000131840471655109,0.000860621796550552
"Mmgt2",42.5410761588063,-0.940358518360491,0.246003632111832,-3.8225391645153,0.000132084491541134,0.000861802352030458
"H2-Q5",26.887869493216,2.733365351645,0.715209879296945,3.82176677191863,0.000132498973966498,0.000864093452115168
"Castor1",16.2238555338761,-2.24546285475269,0.587591593347481,-3.82146865301527,0.000132659278512422,0.000864725531172943
"Esyt3",5.48111319419998,-3.15348758376598,0.825329654511833,-3.82088243955224,0.000132975030431157,0.000866369789958107
"Miga1",18.4474901523022,-1.79092273481592,0.468770273275632,-3.82046993360195,0.000133197642664069,0.000867405937406152
"Brd4",380.979604198954,0.552120522341009,0.144540094653616,3.8198433705481,0.00013353644441791,0.00086919738129463
"Akap8l",76.2588090345042,-1.69931124542137,0.445058349803482,-3.81817630468389,0.000134441836257662,0.00087467332954854
"Gm47242",5.22916410194999,4.81061914406707,1.26010432722911,3.81763560374823,0.000134736733652274,0.000876174097816
"Ank",133.593661487191,-1.33421278534938,0.349766797264081,-3.8145781583208,0.000136415758345178,0.000886669933827187
"Map3k5",45.8399479215723,1.24347390746591,0.326110330982686,3.81304665730425,0.000137264187256124,0.000891759669873951
"Ppp1cb",184.681987665786,1.01108968501868,0.26522591197265,3.81218289532336,0.000137744888458702,0.000894456693594511
"Dhx15",331.017531069515,0.807285104472239,0.211825568781804,3.81108432336515,0.000138358557410473,0.000897719586028262
"Optn",58.122123784422,1.1744567542747,0.308171609856485,3.81104786005966,0.000138378970125151,0.000897719586028262
"Timm23",38.7862120708114,1.12637036349526,0.295683083062274,3.80938385730383,0.000139313528712334,0.000903352886037248
"Selplg",1050.33825002678,-0.704308840110923,0.185081073247432,-3.80540715348751,0.000141571114126614,0.000917555681724178
"2610035D17Rik",13.6383397951603,-3.27045088286777,0.859882366032607,-3.80337010277025,0.000142740855731505,0.000924697765785814
"1110032F04Rik",12.5525786906254,3.81646715759492,1.00360423401469,3.80276111662863,0.000143092319148865,0.000926534651233019
"Mitf",120.392055125134,0.949667703751587,0.249786048281,3.80192452815958,0.00014357646738125,0.000929228531538134
"Isca2",142.821100716835,0.971326103712382,0.25564638374918,3.79949088059611,0.000144993647271457,0.00093795558545495
"Iffo1",43.7889237220756,-1.21884690775756,0.320806876556837,-3.79931665068788,0.000145095609781271,0.000938170333765817
"Hps1",89.9184272349187,-0.691721591193977,0.182090731060554,-3.79877430973654,0.000145413429937317,0.00093977992640209
"Ccdc34",37.3456955239855,-1.36265233973197,0.358902527679889,-3.79671981844425,0.00014662334864863,0.000945829418122699
"Mrpl46",108.403175626527,0.714417095751503,0.188155847041489,3.79694336894017,0.000146491238478073,0.000945829418122699
"Six1",6.03926758681314,4.48644804031875,1.18166604906807,3.79671400719096,0.000146626784382431,0.000945829418122699
"Zdhhc20",89.097551966304,0.853475863897308,0.224789126293941,3.79678447071002,0.000146585129997101,0.000945829418122699
