"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Ecsit",-0.23,-1.27,-1.97,-0.83,1.27,0.95,0.28,0.86,0.54,0.34,0.07
"Fra10ac1",-0.53,-1.18,-2.05,-0.76,0.77,0.69,0.49,0.92,0.56,1.04,0.03
"Tmx2",-1.04,-1.12,-1.48,-0.94,0.98,1.12,0.42,0.8,0.97,0.69,-0.39
"Gcdh",-1.46,-1.04,-1.55,-0.74,0.97,0.91,0.57,0.77,0.8,0.71,0.05
"Pithd1",-0.89,-1.49,-1.46,-1.01,1.31,0.71,0.53,0.64,0.54,0.52,0.61
"Fmnl1",-0.87,-1.26,-1.45,-1.3,1.2,0.58,0.72,0.92,0.56,0.49,0.4
"Tcea2",-1.18,-0.96,-1.57,-1.08,1.25,0.91,0.58,0.77,0.75,0.29,0.24
"Gm47815",-0.93,-1.15,-1.57,-1.22,1.14,0.63,0.48,0.71,1.02,0.49,0.38
"Irak1",-1,-1.3,-1.45,-1.07,0.95,1.32,0.55,0.51,0.69,0.25,0.56
"Tm2d2",-0.98,-1.36,-1.47,-1.05,0.61,1.3,0.49,0.51,0.81,0.67,0.5
"Cfap298",-1.37,-1.08,-1.25,-1.11,1.41,0.96,0.36,0.59,0.5,0.53,0.48
"Klhdc1",-1.4,-0.96,-1.54,-0.89,1,1.27,0.45,0.51,0.6,0.31,0.65
"Klhl3",-0.96,-0.8,-1.71,-0.9,0.47,0.92,-0.23,1.29,0.54,1.26,0.11
"Pla2g6",-1.24,-0.46,-2.02,-0.81,0.3,0.64,0.65,1.15,0.64,0.92,0.22
"Endog",-1.29,-1.05,-1.59,-0.94,0.44,0.68,0.53,1.13,0.78,0.93,0.4
"Tsnax",-0.52,-0.67,-1.73,-1.69,0.55,0.92,0.46,1,0.37,0.88,0.42
"Fam98c",-1.03,-0.96,-1.53,-1.26,0.88,0.77,0.45,0.7,0.04,1.25,0.68
"Sipa1l2",-0.83,-1.31,-1.15,-1.47,0.73,0.5,0.26,1.03,0.52,1.33,0.38
"Cdkn2aipnl",-0.5,-0.57,-1.34,-1.94,0.91,0.16,1,1.19,0.01,0.5,0.59
"5730455P16Rik",-0.36,-0.44,-1.75,-1.79,0.83,0.75,1.05,0.71,0.04,0.26,0.71
"Bbs2",-0.67,-0.89,-1.03,-1.91,1.21,0.44,0.34,0.94,0.01,0.48,1.08
