"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Spryd7",0.9,1.31,1.44,1.33,-0.61,-0.59,-0.84,-0.78,-0.84,-0.73,-0.59
"Rnf24",0.35,1.48,1.2,1.54,-0.16,-0.37,-1.29,-0.81,-0.81,-0.77,-0.35
"Zfp382",0.47,1.31,1.34,1.58,-0.42,-0.92,-0.83,-0.92,-0.69,-0.85,-0.06
"Txnl1",0.32,1.37,1.55,1.43,-0.31,-0.88,-0.72,-0.88,-0.98,-0.58,-0.31
"Scaf11",0.19,1.36,1.5,1.58,-0.54,-0.76,-0.7,-0.89,-0.87,-0.63,-0.23
"Atp13a1",0.27,1.15,1.56,1.5,-0.58,-0.53,-0.26,-0.19,-1.09,-0.49,-1.34
"Cd200",0.34,1.04,1.53,1.51,-0.64,-0.32,-0.29,-0.52,-1.6,-0.2,-0.84
"Mtpn",0.55,1.15,1.45,1.48,-0.68,-0.22,-0.28,-0.42,-1.41,-0.75,-0.87
"Arid4a",0.4,1.25,1.54,1.27,-0.67,-0.36,-0.03,-0.24,-1.46,-0.68,-1.02
"Irf2",0.28,1.62,1.47,1.14,-0.91,-0.72,-0.08,-0.09,-0.88,-0.83,-1.01
"Rnf31",0.73,1.29,1.51,1.28,-0.71,-0.53,-0.41,-0.23,-1.01,-1.02,-0.91
"Rhog",0.59,1.54,1.4,1.27,-0.66,-0.53,-0.4,-0.4,-0.77,-1.14,-0.89
"Nfe2l1",0.47,1.5,1.37,1.39,-0.42,-0.76,-0.61,-0.27,-0.62,-1.16,-0.89
"Snw1",0.33,1.48,1.44,1.34,-0.25,-0.49,-0.38,-0.4,-0.85,-1.16,-1.07
"Bcl9",0.68,1.52,1.5,1.09,-0.83,-0.74,-0.48,-0.28,-1.18,-0.54,-0.74
"Igsf8",0.6,1.43,1.57,1.2,-0.79,-0.84,-0.41,-0.34,-1.13,-0.65,-0.63
"Src",0.57,1.5,1.44,1.37,-0.76,-0.73,-0.57,-0.5,-0.79,-0.74,-0.8
"Mtmr14",0.81,1.44,1.45,1.26,-0.85,-0.64,-0.61,-0.68,-0.71,-0.71,-0.77
"Slc25a25",0.75,1.36,1.53,1.3,-0.82,-0.6,-0.69,-0.58,-0.79,-0.77,-0.7
"Nlgn2",0.98,1.42,1.34,1.21,-0.91,-0.85,-0.67,-0.28,-0.8,-0.62,-0.82
"Rgs14",0.99,1.42,1.4,1.15,-0.81,-0.7,-0.74,-0.41,-1,-0.61,-0.69
"Dbnl",0.91,1.49,1.43,1.14,-0.82,-0.76,-0.57,-0.54,-0.85,-0.78,-0.65
"Usp31",0.43,1.17,1.94,1.12,-1.14,-0.69,-0.52,-0.46,-0.56,-0.53,-0.76
"Arid1a",0.74,1.11,1.77,1.16,-0.99,-0.5,-0.64,-0.21,-0.96,-0.61,-0.86
"Rassf4",0.59,1.52,1.35,1.39,-0.96,-0.46,-0.47,-0.62,-0.79,-0.68,-0.87
"Luc7l3",0.57,1.5,1.32,1.44,-1.04,-0.82,-0.42,-0.48,-0.61,-0.68,-0.79
"Cers6",0.69,1.36,1.39,1.39,-1.27,-0.37,-0.53,-0.55,-0.8,-0.68,-0.62
"Unk",0.77,1.38,1.47,1.19,-1.29,-0.3,-0.37,-0.67,-0.67,-0.72,-0.79
"Dcp2",0.83,1.15,1.38,1.49,-1.24,-0.59,-0.47,-0.45,-0.67,-0.61,-0.84
"Dcbld2",0.92,1.27,1.38,1.39,-1.03,-0.54,-0.68,-0.56,-0.85,-0.6,-0.7
"Rab12",0.84,1.19,1.5,1.39,-0.94,-0.49,-0.52,-0.49,-0.89,-0.8,-0.79
"Fam3b",-0.06,1.07,1.87,1.28,-0.73,-1.04,-1.02,-0.68,0.11,-0.04,-0.76
"Kbtbd2",0.2,1.02,1.8,1.12,-0.67,-1.49,-0.91,-0.57,0.23,0.02,-0.75
"Slamf9",0.11,1.4,1.62,1.18,-0.92,-1.33,-0.51,-0.6,0.17,-0.33,-0.81
"Morf4l2",0.08,1.16,1.38,1.5,-0.77,-1.61,-0.6,-0.5,0.25,-0.08,-0.79
"Rfc3",0.44,1.15,1.74,1.21,-1.03,-1,-1.04,-0.73,-0.09,-0.13,-0.53
"Pogz",0.31,1.02,1.71,1.42,-1.35,-0.79,-0.71,-0.65,-0.07,-0.15,-0.73
"Piezo1",-0.1,1.42,1.57,1.24,-1.09,-1.37,-0.72,-0.56,-0.19,0.04,-0.24
"Tbc1d13",0.08,1.49,1.58,1.24,-1.26,-1.05,-0.6,-0.41,-0.25,-0.2,-0.63
"Slc12a4",-0.21,1.51,1.71,1.23,-1.13,-0.88,-0.67,-0.55,-0.54,-0.06,-0.4
"Gm17435",0.78,1.63,0.63,1.48,-0.62,-1.06,-1.02,-0.79,-0.13,0.1,-0.98
"Gbp11",0.63,1.38,1.07,1.62,-0.98,-0.96,-0.66,-0.96,0.01,-0.48,-0.69
"Pik3r1",0.79,1.36,1.09,1.44,-0.73,-1.21,-0.66,-1.06,0.11,-0.35,-0.78
"Csnk2a2",0.76,1.36,1.09,1.55,-0.51,-1.22,-0.77,-0.99,-0.16,-0.47,-0.64
"Ext1",0.84,1.36,1.49,1.1,-0.83,-1.17,-0.98,-0.78,-0.29,-0.49,-0.25
"Rcn1",0.87,1.37,1.51,1.09,-0.86,-1.04,-1.07,-0.57,-0.37,-0.4,-0.53
"Ppp6r1",0.74,1.44,1.42,1.25,-0.91,-1.15,-0.84,-0.56,-0.38,-0.52,-0.48
"Ilrun",0.69,1.45,1.45,1.27,-0.53,-1.22,-0.76,-0.62,-0.62,-0.52,-0.6
"Tagln2",0.6,1.63,1.46,0.99,-0.46,-1.3,-0.91,-0.76,-0.43,-0.49,-0.34
"Elavl1",0.56,1.42,1.49,1.31,-0.32,-1,-0.89,-0.94,-0.63,-0.32,-0.67
"Psmd7",0.56,1.39,1.38,1.32,-0.14,-1.21,-0.94,-1.04,-0.27,-0.4,-0.65
"Junb",1.15,1.31,1.17,1.29,-0.55,-0.94,-1.01,-1.04,-0.57,-0.44,-0.39
"Mthfd2",0.95,1.38,1.32,1.29,-0.65,-0.85,-0.98,-0.96,-0.47,-0.59,-0.44
"Fam20c",0.83,1.37,1.32,1.37,-0.63,-0.92,-0.95,-0.95,-0.66,-0.42,-0.36
"Atm",0.74,1.1,1.49,1.42,-0.51,-1.03,-1.31,-0.64,-0.56,-0.39,-0.31
"Wdr43",0.62,1.42,1.41,1.38,-0.61,-0.8,-1.15,-0.73,-0.68,-0.45,-0.4
"Rrs1",0.48,1.47,1.34,1.54,-0.59,-0.6,-0.85,-0.78,-0.87,-0.63,-0.51
"Frmd4a",0.7,1.4,1.33,1.5,-0.77,-0.62,-0.9,-0.67,-0.64,-0.74,-0.6
"Ino80",0.34,1.59,1.5,1.3,-0.87,-0.77,-0.91,-0.49,-0.68,-0.38,-0.63
"Rasgef1b",0.44,1.43,1.44,1.46,-1.16,-0.58,-0.81,-0.71,-0.53,-0.47,-0.51
"Fzd1",0.59,1.44,1.55,1.3,-0.89,-0.49,-0.87,-0.7,-0.7,-0.6,-0.61
"Irf1",0.66,1.36,1.5,1.36,-1.02,-0.7,-0.78,-0.73,-0.74,-0.45,-0.47
"Sh3bp4",0.54,1.11,1.76,1.25,-0.6,-1.1,-0.62,-0.91,-0.81,-0.01,-0.63
"Plk2",0.44,1.27,1.38,1.65,-0.55,-1.17,-0.6,-0.75,-0.68,-0.42,-0.57
"Ubr4",0.5,1.24,1.58,1.36,-0.73,-1.36,-0.43,-0.7,-0.52,-0.31,-0.65
"Tsc22d1",0.26,1.3,1.3,1.5,-1.44,-0.58,-0.79,-1.1,-0.21,-0.03,-0.2
"Dsel",0.25,1.22,1.19,1.64,-1.47,-0.28,-0.55,-1.21,-0.51,-0.19,-0.08
"Col5a3",0.42,1.32,1.09,1.63,-1.11,-0.27,-0.5,-1.38,-0.32,-0.04,-0.82
"Szrd1",0.24,1.23,1.54,1.37,-0.91,-0.24,-0.57,-1.57,-0.41,-0.1,-0.57
"Mrpl20",-0.01,1.21,1.19,2.01,-0.69,-0.52,-0.85,-0.57,-0.79,-0.21,-0.78
"Slc44a1",-0.58,1.41,1.55,1.59,-0.64,-0.28,-0.64,-0.96,-0.84,-0.22,-0.4
"Macir",-0.06,1.22,1.59,1.61,-0.73,0,-0.66,-0.83,-1.03,-0.39,-0.72
"Dnajb3",-0.09,0.62,1.76,1.74,-1.07,-1.05,-0.68,-0.71,0.09,-0.47,-0.15
"Sntb1",0.3,0.96,1.68,1.66,-0.98,-0.68,-0.47,-0.73,-0.29,-0.92,-0.54
"Rnf139",0.39,0.94,1.85,1.46,-0.8,-0.95,-0.87,-0.55,-0.58,-0.69,-0.2
"Oser1",-0.33,0.95,1.66,1.68,-0.32,-1.11,-0.94,-0.92,-0.56,0.03,-0.13
"Gnaq",-0.53,1,1.76,1.63,-0.89,-0.03,-1.03,-0.75,-0.18,-0.36,-0.63
"Apobec4",-0.52,0.95,1.57,1.85,-0.75,-0.73,-0.72,-0.73,0.27,-0.65,-0.54
"Dyrk2",-0.32,1.24,1.47,1.67,-0.38,-0.6,-1.01,-1.03,0.23,-0.65,-0.6
"Rbm47",-0.1,1.91,0.62,1.07,-1.54,-1.42,-0.13,-0.21,-0.36,-0.27,0.43
"Gm11696",-0.05,1.54,0.83,1.56,-0.8,-1.39,-0.96,-0.39,-0.77,-0.11,0.51
"Snrpb",0.35,1.52,0.76,1.44,-0.63,-1.73,-0.51,-0.69,-0.59,-0.43,0.51
"Ticam1",-0.13,1.82,1.48,0.46,-0.99,-1.02,-0.37,0.07,-0.9,-0.99,0.58
"Ppp2r1a",0.17,1.55,1.68,0.72,-0.65,-1.5,-0.41,-0.03,-1.14,-0.21,-0.18
"Trpc4ap",0.22,1.22,1.75,1.17,-0.82,-1.25,-0.06,-0.07,-1.12,-0.51,-0.52
"Itpkb",-0.11,1.44,1.55,1.13,-1.4,-0.89,0.08,-0.1,-1.11,-0.1,-0.49
"Elf4",-0.14,1.59,1.3,1.45,-0.77,-0.81,-0.17,-0.07,-1.35,-0.57,-0.48
"Pacs2",-0.07,1.66,1.52,1.13,-0.69,-1.05,-0.14,-0.22,-1.26,-0.33,-0.56
"Mafg",-0.16,1.63,1.06,1.17,-1.03,-1.48,-0.72,-0.58,0.71,-0.3,-0.29
"AI837181",0.13,1.58,1.46,1.13,-0.83,-1.38,-0.91,-0.35,0.15,-0.51,-0.48
"Zfp703",0.14,1.7,1.04,1.2,-1.23,-1.46,-0.71,-0.22,0.23,-0.53,-0.14
"Arf5",0.51,1.25,1.31,0.93,-1.09,-1.65,-0.47,-0.74,0.77,-0.5,-0.31
"Gm42820",0.73,1.47,1.14,0.99,-0.74,-1.8,-0.8,-0.35,0.24,-0.62,-0.25
"Acin1",0.47,1.56,1.23,0.76,-0.65,-1.88,-0.48,-0.42,0.5,-0.46,-0.65
"Zbtb7a",-0.25,1.59,1.22,0.97,-1.55,-1.09,-0.6,-0.14,0.63,-0.8,0.01
"Spi1",-0.04,1.51,1.11,0.78,-1.32,-1.63,-0.57,-0.08,0.92,-0.51,-0.17
"Klhdc3",0.22,1.62,1.14,0.78,-1.52,-1.28,-0.35,0.1,0.62,-0.85,-0.47
"Aven",0.12,1.27,1.51,0.84,-0.6,-1.43,-0.95,0.14,0.42,-1.36,0.02
"Itga5",0.46,1.8,1.09,0.78,-0.78,-1.1,-0.56,-0.08,0.42,-1.44,-0.6
"2310011J03Rik",0.5,1.55,1.1,1.19,-1.14,-1.24,-0.5,-0.5,0.35,-1.09,-0.23
"Psmb2",0.71,1.21,0.65,0.85,-0.93,-2.4,0.25,-0.09,0.24,-0.23,-0.26
"Dedd",0.8,1.2,1.31,0.52,-0.6,-1.96,-0.11,-0.14,0.55,-1.07,-0.48
"Eif4g3",0.75,1.58,1.54,0.29,-0.56,-1.67,-0.65,-0.01,0.13,-0.6,-0.79
"Pik3ip1",1.1,0.79,1.11,0.62,-1.6,-0.24,-1.39,-0.37,0.45,-1.11,0.64
"Aar2",1.16,0.76,0.8,1.14,-1.72,-1.07,-0.37,-0.23,0.77,-1.11,-0.14
"Ncoa1",1.45,1.01,0.74,0.52,-1.44,-0.54,-0.54,-0.54,1.06,-1.38,-0.35
"Gm13456",1.15,0.35,1.04,1.37,-0.65,0.23,-0.42,-0.52,-0.06,-2.13,-0.37
"Rpl24",1.24,0.74,0.83,0.91,-1.18,0.29,0.26,-0.92,0.09,-1.98,-0.28
"9330175E14Rik",1.62,0.17,1.51,1.1,-1,0.01,-0.42,-0.75,-0.55,-1.28,-0.43
"Carhsp1",1.52,0.15,1.48,0.92,-1.78,-0.46,0.02,-0.41,-0.19,-0.96,-0.3
"Btbd7",1.42,0.51,1.04,1.42,-1.62,-0.3,-0.1,-0.56,-0.71,-1.03,-0.07
"Sfmbt1",0.7,1.7,0.53,1.08,-1.32,-0.39,-1.63,-0.64,-0.29,-0.07,0.32
"Fam72a",0.13,1.69,0.92,1.22,-1.32,-0.35,-1.23,-0.93,-0.13,-0.52,0.53
"Akirin1",0.39,1.54,0.35,1.44,-1.38,-0.49,-1.11,-1.24,0.23,-0.24,0.52
"Usp12",0.59,0.88,1.49,1.06,-1.84,-0.1,-1.05,-0.96,0.18,0.04,-0.28
"Atp1a1",0.83,1.01,1.19,1.1,-1.8,-0.56,-1.15,-0.77,0.41,-0.17,-0.1
"Tnc",0.88,1.16,1.04,1.5,-1.62,-0.66,-0.7,-0.58,0.07,-0.73,-0.36
"Appl1",0.45,1.2,1.28,1.64,-1.36,-0.36,-0.89,-0.65,-0.09,-0.78,-0.46
"Lin9",0.34,0.99,1.73,1.24,-1.62,-0.28,-0.6,-0.88,-0.08,-0.72,-0.12
"Cttn",0.42,1.12,1.3,1.53,-1.52,-0.66,-0.71,-0.86,0.33,-0.54,-0.41
"Sertad2",0.1,1.06,1.23,1.68,-1.37,-0.59,-0.8,-1,0.48,-0.66,-0.1
"Gm6475",1.7,1.28,0.82,0.43,-1.24,-0.26,-1.2,-0.86,0.03,0.18,-0.9
"Rabep2",1.09,1.65,0.9,0.14,-1.92,-0.3,-0.83,-0.31,0.39,-0.09,-0.72
"Gm15459",1.48,1.27,0.49,0.47,-1.7,0.12,-1.08,-1.2,0.43,-0.11,-0.15
"Fbxw7",1.11,1.11,0.65,0.63,-2.26,-0.1,-0.95,-0.7,0.43,-0.04,0.11
"Snrpd3",1.15,1.31,1.43,0.26,-1.45,-0.64,-1.06,-1.05,0.25,-0.27,0.08
"BC147527",1.18,1.18,1.22,0.54,-1.18,-0.5,-1.1,-1.4,0.53,0.1,-0.56
"Dusp11",1.24,0.92,1.06,0.52,-1.63,-0.71,-0.76,-1.41,0.67,0.17,-0.09
"Phgdh",0.77,1.51,0.71,1.2,-1.25,-1.02,-1.05,-1.18,0.22,0.04,0.04
"Cobll1",1.09,1.6,0.89,0.87,-1.29,-0.98,-0.68,-1.26,-0.11,-0.12,0
"Pkmyt1",1.37,1.23,0.48,0.99,-1.52,-1.08,-1,-0.84,0.38,-0.15,0.14
"Hspa8",1.37,1.24,0.76,0.63,-1.41,-0.63,-1.06,-1.13,0.76,-0.51,-0.03
"Nfya",0.67,1.81,0.93,0.55,-1.48,-1.34,-0.73,-0.2,0.51,-0.53,-0.2
"Tbrg4",0.64,2.08,0.91,0.63,-1.32,-0.72,-1.14,-0.57,0.01,-0.22,-0.3
"Prrc2c",1.47,1.44,0.9,0.5,-0.9,-0.99,-0.78,-0.83,0.67,-0.94,-0.54
"Tnrc6a",1.46,1.62,0.64,0.55,-1.28,-1.01,-0.52,-0.72,0.52,-0.81,-0.45
"9530082P21Rik",1.31,1.71,0.66,1.01,-1.13,-0.88,-0.74,-0.47,-0.06,-0.51,-0.91
"Map3k5",1.1,1.69,0.95,1.07,-1.04,-0.86,-0.57,-0.8,-0.2,-0.42,-0.94
"Hmbox1",0.93,1.5,1.02,0.86,-1.41,-0.53,-0.74,-0.78,0.66,-0.51,-0.99
"Psmb1",1.19,1.61,1.11,0.66,-1.37,-0.67,-0.49,-0.8,0.19,-0.91,-0.52
"Gmppb",1.2,1.32,1.34,0.9,-0.96,-1.26,-0.77,-0.7,0.03,-0.54,-0.57
"Fbxo7",0.97,1.14,1.45,1.1,-0.86,-1.42,-0.68,-0.51,0.17,-0.68,-0.7
"Jpt2",0.81,1.3,1.35,1.07,-0.86,-1.25,-0.65,-1.08,0.38,-0.32,-0.76
"Trir",0.47,1.5,1.53,1,-1.15,-1.14,-0.73,-0.86,0.15,-0.36,-0.42
"Nbas",1.12,1.22,1.21,0.99,-0.84,-1.54,-1.05,-0.76,-0.17,0,-0.18
"Oxsr1",1.34,1.21,1.03,0.91,-0.56,-1.55,-0.95,-1.02,0.1,-0.45,-0.06
"Amigo3",1.09,1.35,1.68,0.5,-0.66,-1,-1.22,-0.79,-0.17,-0.29,-0.49
"Pdlim1",1.08,1.37,1.19,1.1,-0.92,-0.95,-1.18,-1.02,-0.2,-0.1,-0.36
"Klrk1",1.15,1.28,1.37,1.05,-0.85,-1.12,-0.88,-0.9,-0.22,-0.28,-0.61
"Cxcl9",1.17,1.51,1.28,0.79,-0.97,-0.95,-0.93,-0.95,-0.04,-0.25,-0.67
"Hmgn3",1.36,0.95,1.5,0.47,-1.2,-0.75,-1.36,-0.66,0.42,-0.26,-0.48
"Eef1e1",1.3,1.2,0.94,0.92,-1.22,-0.97,-1.55,-0.36,0.2,-0.21,-0.24
"Cd247",1.49,0.84,0.82,1.17,-1.28,-0.5,-1.04,-0.94,0.61,-0.34,-0.83
"Mki67",1.34,1.08,0.75,1.29,-1.1,-0.68,-1.36,-0.82,0.34,-0.14,-0.69
"Psmd11",1.51,1.07,1.01,1.03,-0.62,-1.05,-0.87,-0.89,0.33,-0.46,-1.05
"Dek",1.33,1.02,1.22,0.98,-0.72,-0.79,-0.96,-1.18,0.44,-0.4,-0.96
"Stk39",1.48,0.78,1.11,1.2,-0.95,-1.05,-0.99,-0.87,0.37,-0.7,-0.38
"Ccl9",1.42,0.87,0.99,1.12,-0.99,-1.03,-1.21,-0.98,0.53,-0.29,-0.43
"Nusap1",1.74,0.58,-0.88,0.45,-1.33,-0.56,-0.99,-0.87,1.07,0.81,-0.03
"Dnajc19-ps",1.36,-0.36,-0.61,0.78,-0.6,-0.62,-0.94,-1.29,1.39,1.3,-0.4
"Ear2",1.97,-0.69,-0.48,0.28,-1.17,-0.75,-0.71,-0.59,1.34,0.85,-0.05
"Cdca3",1.74,-0.32,-0.66,-0.15,-1.17,-0.57,-0.67,-0.83,1.63,0.96,0.05
"Klk1b1",2.01,0.13,0.34,0.2,-1.49,-0.69,-0.86,-1.19,0.79,0.3,0.46
"Ube2c",1.89,0.04,0.18,-0.45,-1.2,-0.64,-0.96,-1.16,1.22,0.55,0.53
"Ccnb2",2,0.09,0.6,0.31,-1.31,-0.98,-0.81,-0.98,1.01,0.37,-0.29
"Fbl-ps2",1.37,-0.09,0.47,0.33,-1.24,-1.36,-0.01,-1.36,1.46,0.61,-0.19
"AI662270",1.86,0.47,0.02,0.81,-0.98,-0.61,-0.62,-1.09,1.39,-0.71,-0.54
"Bcl11b",1.11,0.14,0.08,0.73,-0.51,-0.75,-0.72,-1.11,2.21,-0.49,-0.7
"B3gnt2",0.93,0.14,0.45,1.5,-1.37,-0.52,-0.74,-1.23,1.3,0.35,-0.81
"Cd79b",1.22,-0.16,0.7,0.84,-1.2,-0.86,-0.8,-0.72,1.85,-0.14,-0.71
"Ly6d",1.24,-0.68,1,0.9,-1.18,-0.55,-0.96,-0.81,1.55,0.17,-0.68
"Ngp",0.65,-0.16,0.89,0.33,-1.1,-0.52,-0.83,-0.74,2.35,-0.29,-0.56
"AY036118",0.71,-0.21,0.52,0.15,-1.29,-0.22,-0.98,-0.59,2.45,-0.2,-0.34
"Spc24",1.13,-0.59,0.24,0.41,-0.76,-0.65,-1.11,-0.81,2.21,-0.47,0.41
"Vma21-ps",1.59,-0.47,0.05,0.04,-0.76,-0.73,-0.71,-0.73,2.22,-0.08,-0.42
"Rps10-ps1",0.42,0.12,0.35,-0.2,-1.51,-0.28,-0.27,-0.91,2.51,0.08,-0.31
"Rps8",0.77,0.39,0.35,0,-1.72,-0.72,-0.3,-1.15,2.03,0.33,0.02
"Rps16-ps2",1.06,0.17,-0.08,-0.26,-1.8,-0.57,-0.19,-0.72,2.14,-0.09,0.32
"Gm4617",1.1,0.89,0.15,0.13,-1.33,-0.5,-1.47,-0.83,1.76,0.04,0.05
"Cd74",1.03,0.13,0.61,0.24,-1.92,-0.55,-0.77,-0.57,1.87,-0.27,0.2
"Bet1l",1.05,0.23,0.11,0.19,-1.36,-0.87,-1,-0.8,2.05,-0.16,0.56
"Rpl3",1.04,0.05,0.22,0.36,-1.63,-0.68,-0.63,-1.19,1.87,0.04,0.55
"Trac",0.47,-0.66,1.25,0.81,-0.66,-1.25,-1.34,-0.47,1.47,0.85,-0.47
"Itgad",0.48,-0.79,1.68,1.05,-1.08,-0.54,-1.03,-0.78,0.63,1.1,-0.72
"Tmem108",0.24,-0.53,0.99,1.53,-1.12,-0.73,-1.03,-1.06,0.93,1.16,-0.38
"Hbb-bt",1.15,-0.38,1.19,0.99,-0.7,-0.58,-1.28,-1.39,0.86,0.77,-0.65
"Hbb-bs",1.05,-0.44,0.98,0.88,-0.57,-0.45,-1.5,-1.41,1.27,0.64,-0.46
"Alas2",1.06,-0.29,0.96,0.69,-0.61,-0.55,-0.94,-1.35,1.78,0.17,-0.91
"Hba-a1",0.84,-0.4,0.86,0.79,-0.8,-0.86,-1.13,-1.21,1.76,0.58,-0.44
"Hba-a2",0.87,-0.68,0.96,0.63,-0.77,-0.83,-1.02,-1.24,1.74,0.68,-0.34
"Klf2",1.59,-0.5,1.34,0.95,-0.66,-0.84,-1.15,-1.11,0.35,0.59,-0.57
"Ltb",1.61,-0.57,1.16,0.78,-0.91,-0.58,-1.26,-0.96,0.89,0.49,-0.64
"Trbc2",1.32,-0.77,1.2,0.66,-1.11,-1.06,-0.69,-0.82,1.27,0.58,-0.59
"Iglc2",1.28,-0.97,1.17,0.8,-0.2,-1.13,-1.05,-0.87,1.14,0.58,-0.75
"Slc4a1",1.31,-0.56,0.97,0.95,-0.66,-1.12,-0.9,-1.12,1.13,0.74,-0.75
"Ccnyl1",0.19,-0.16,0.48,0.89,-1.08,-0.07,-2.08,-0.86,1.3,0.52,0.87
"Myc",0.49,0.07,0.66,0.86,-0.66,-0.75,-1.45,-1.38,1.88,0.21,0.08
"Mcrip1",0.68,-0.34,0.24,1.23,-0.34,-0.95,-1.46,-1.44,1.44,0.26,0.69
"Actg1",0.97,-0.13,0.1,0.69,-0.14,-0.77,-1.38,-1.65,1.78,0.35,0.17
"Zeb2os",0.22,0.39,1.06,1.09,-1.4,-0.16,-1.26,-0.4,1.72,-0.58,-0.67
"Gm8369",-0.04,-0.24,1.14,0.81,-1.09,-0.8,-0.53,-0.8,2.23,-0.23,-0.45
"Tent2-ps1",-0.28,-0.13,1.05,1.03,-0.65,-0.82,-0.78,-0.41,2.25,-0.59,-0.67
"Rnaseh2b",0.09,0.76,1.6,0.74,-1.29,-0.67,-1.08,-1.41,0.98,0.29,-0.01
"Tspan9",-0.07,0.36,1.34,0.82,-1.03,-0.97,-0.92,-1.49,1.39,-0.03,0.6
"Setd4",0.57,0.46,0.96,0.43,-2.22,-0.5,-0.91,-0.45,1.45,0.13,0.07
"Igkc",0.68,-0.11,1.39,0.95,-2.02,-0.91,-0.54,-0.81,0.83,0.38,0.16
"Ighm",0.72,-0.21,1.19,0.83,-1.81,-0.79,-1.07,-0.88,0.98,0.59,0.44
"Psmd3",-0.1,1.36,1.01,1,-0.25,-2.04,-1.03,-0.4,0.73,-0.37,0.1
"Ddx39b",0.57,0.62,1.07,0.88,-0.23,-1.92,-1.3,-0.85,1.1,0.06,0
"Slc7a5",-0.14,0.89,1.08,0.44,-0.18,-2.15,-0.72,-1.04,1.1,0.13,0.6
"Tcirg1",-0.02,1.28,0.89,1.01,-1.66,-1.65,-0.42,-0.51,0.74,0.02,0.33
"Zfp628",-0.01,1.01,0.93,1.18,-1.63,-1.12,-0.76,-0.45,1.35,-0.46,-0.03
"Rpl23a",-0.31,1.11,0.84,0.86,-1.57,-1.34,-0.63,-0.47,1.53,0.02,-0.02
"Pikfyve",-0.61,1.07,1.35,1.07,-1.1,-0.72,-0.83,-0.86,1.43,-0.32,-0.48
"Baiap2",-0.92,1.07,0.86,1.05,-1.07,-1.04,-0.68,-0.51,1.68,0.16,-0.61
"Zfp697",-0.81,1.42,0.66,0.87,-1.15,-0.91,-0.98,-0.9,1.4,-0.07,0.48
"Scamp2",-0.49,1.49,0.89,0.49,-1.48,-0.63,-0.96,-0.76,1.51,0.23,-0.29
"Upf1",1.31,1.02,0.24,0.35,-0.9,-1.44,-0.16,-1.04,1.57,-0.75,-0.2
"Gm9762",0.45,0.94,0.76,0.61,-1,-1.14,-0.73,-1.23,1.69,-0.78,0.43
"Zfand2b",0.12,1.1,0.93,1.08,-0.54,-0.87,-0.69,-1.16,1.56,-1.13,-0.4
"Stx4a",0.49,1.07,0.73,0.75,-0.89,-1.04,-0.69,-0.48,1.83,-0.92,-0.86
"Casp1",0,1.1,0.81,0.49,-0.69,-0.8,-0.54,-0.9,2.11,-0.74,-0.84
"C530043K16Rik",0.41,0.53,1.22,1.06,-1.07,-1.36,-0.68,-0.55,1.47,0,-1.02
"Ddx49",0.47,1.29,0.86,1.03,-0.76,-1.07,-1.26,-0.85,1.17,0.08,-0.95
"Edf1",0.33,1.15,0.75,0.29,-0.32,-1.87,-0.95,-0.45,1.73,-0.2,-0.46
"Snrnp70",0.08,1.47,0.51,1.19,-0.84,-1.61,-0.43,-0.66,1.31,-0.41,-0.59
"Eif4g1",0.07,1.44,0.83,0.61,-1,-1.42,-0.9,-0.58,1.58,-0.29,-0.33
"Ubtf",0.19,0.04,0.48,0.48,-0.96,-1.43,-0.4,-0.9,2.27,-0.34,0.56
"Gm4202",0.45,-0.22,0.67,1.14,-1.24,-1.18,-0.83,-1.18,1.57,0.1,0.71
"Atp6v1g1",-0.32,1.06,0.55,0.88,-0.19,-1.26,-0.67,-1.67,1.68,-0.06,0.02
"A630072M18Rik",0.39,0.58,0.02,0.85,-0.4,-1.45,-1.42,-0.64,1.98,-0.22,0.3
"Gm5831",-0.11,0.87,0.75,1.21,-1.05,-1.49,-0.94,-0.99,1.32,-0.08,0.53
"Pbdc1",-0.11,0.49,0.28,1.37,-1.14,-0.87,-1.19,-1.15,1.65,0.37,0.3
"5330406M23Rik",0.59,1,0.12,1.04,-0.7,-1.87,-0.86,-0.96,1.18,0.66,-0.2
"Gm43775",0.99,1.08,-0.47,0.64,-1.22,-1.31,-0.82,-0.5,1.67,0.39,-0.45
"Phxr4",0.36,0.76,0.59,1.41,-1.66,-1.41,-0.02,-0.37,1.17,-0.01,-0.83
"Macf1",0.61,0.88,0.65,1.11,-1.78,-0.62,-0.66,-0.99,1.43,-0.31,-0.32
"Tal1",0.8,0.68,1,0.7,-1.51,-1.18,-0.23,-0.87,1.56,-0.32,-0.63
"Rps6",0.53,0.15,0.81,0.77,-1.78,-1.07,-0.45,-0.49,1.91,-0.16,-0.22
"Cd8b1",0.57,-0.18,1.76,1.25,-0.55,-0.76,-1.49,-0.92,-0.35,0.92,-0.25
"Aldh1a1",-0.13,-0.3,2.05,1.07,-1.06,-1.04,-1.03,-0.43,0.05,1.02,-0.18
"Rbm3",0.27,-0.11,1.55,1.11,-1.09,-1.01,-1.29,-0.96,0.08,1.19,0.27
