"","baseMean","lgFC_PcDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Mrps26",243.390849731847,0.378028161681803,0.145365496128943,2.60053569621833,0.00930783348749268,0.0299202115725762
"Psmc2",556.106801916797,-0.257820772211855,0.0991637431474945,-2.59994998200478,0.00932373492157416,0.0299651991887598
"Trmu",33.0746314178362,-0.623701858180939,0.239928137424105,-2.59953611475949,0.00933498552751363,0.029995224347299
"Sf3a2",214.046311448188,-0.537238742076058,0.206680083301769,-2.59937355111111,0.00933940798505715,0.0300033014749874
"Fhl1",2.26530539134846,-3.33375918086908,1.28274725465633,-2.59892131420873,0.0093517206840828,0.0300367179062316
"Vmac",28.8920006541892,0.662762722797051,0.255044108328721,2.59862000788832,0.00935993215129447,0.0300569506611231
"Supt4a",156.691706829853,0.510627351461975,0.196507367900921,2.59851504254759,0.00936279427031231,0.0300600006403266
"Extl2",10.3889792735675,1.00505757223123,0.386851278504003,2.59804640201241,0.0093755823488047,0.0300949109538209
"Pnp2",23.1509944320192,-0.9059611305322,0.348773427124283,-2.59756351853425,0.00938877538033609,0.0301311066156601
"Prune1",33.6185007593039,0.676248454563646,0.260399874934661,2.59696151825468,0.009405246035936,0.0301654891734091
"Slc11a2",55.8053471988063,0.560418456767269,0.215786352730524,2.59709870284115,0.0094014904161799,0.0301654891734091
"Ubtf",120.899875805332,-0.449036738361847,0.172905959624101,-2.59699977570499,0.00940419855022889,0.0301654891734091
"Elof1",192.323366226456,0.414967607097882,0.159824285610454,2.59639894846331,0.0094206611707333,0.0302087664101911
"Ranbp9",190.829991840723,0.449697655341911,0.17322774249051,2.5959909704795,0.00943185438544125,0.0302384905332961
"E230001N04Rik",6.54144220368088,1.45475702491069,0.56061813887827,2.5949160828465,0.00946140163986509,0.0303270335189721
"Hbq1a",2.45869360891801,-3.11591111161957,1.20105863718205,-2.59430390420421,0.00947826650322835,0.0303748972811919
"2010320M18Rik",25.0823525518763,-0.720419767334673,0.277766277369263,-2.59361854202678,0.00949717929999731,0.0304231019801626
"Mmab",23.9287602798772,0.711098128991551,0.274166543405971,2.59367215327435,0.00949569866737756,0.0304231019801626
"2900005J15Rik",2.3507612328923,-2.7863650180024,1.07494765046767,-2.59209368641362,0.00953937898649052,0.0305501264105733
"Dcakd",97.6003204719531,-0.394543130058185,0.152213050915942,-2.59204534489009,0.00954071954637729,0.0305501264105733
"BC028528",3.6731162098384,2.91500433345089,1.12467659063464,2.59186005801544,0.0095458592969424,0.0305603589182561
"Foxk1",153.110464962226,-0.313976689941014,0.121152452944361,-2.59158343319064,0.00955353730408825,0.0305787116438532
"Usf3",63.3744038366896,0.482846543558395,0.186320499055439,2.59148373907439,0.00955630576668374,0.030581345754581
"Gm43323",9.20083621682887,-1.22359368899182,0.47236857994052,-2.59033674328189,0.00958820884392708,0.0306771941416018
"Pfkl",130.769546240491,0.536889604719524,0.207323863951314,2.58961797492643,0.00960824937025429,0.0307272749942966
"Traip",29.4379975287886,0.654746643376083,0.252840390892975,2.58956506539033,0.00960972605585356,0.0307272749942966
"Vps39",78.6600433113521,0.464825830406295,0.179496471246449,2.58960985237468,0.00960847605452575,0.0307272749942966
"Pon3",21.3454014578931,1.13736628395168,0.439336136459151,2.58882934856745,0.00963028061928047,0.0307867360289749
"Dag1",138.530446160287,0.407828946581844,0.157547733997819,2.58860560055716,0.00963653949168782,0.030795761087287
"Prkce",121.354864040074,0.473075269129333,0.18275415165107,2.58858835684657,0.00963702199811469,0.030795761087287
"Oxa1l",261.977655357828,0.262789888192655,0.10156173934068,2.5874890475354,0.00966782690940932,0.030887920973375
"Best1",8.16886872693736,1.4292623449182,0.552395018068317,2.58739180870281,0.00967055596280905,0.0308903615483429
"Gm16062",2.71205687095186,-2.27122612868757,0.878064513342844,-2.58662785498628,0.0096920205840828,0.0309526354248674
"Slc32a1",4.44666840167525,2.63192122457398,1.01792872307788,2.58556533960051,0.00972194442420075,0.0310418940491594
"Cd9",700.875001863152,-0.330483463720429,0.127872149857607,-2.58448351801733,0.00975249656706744,0.0311331221644462
"Rev1",52.4073248552566,-0.639536002083111,0.247541787863817,-2.58354764099444,0.00977899603564261,0.031211378413049
"Irag2",405.156686211297,0.377472643743158,0.146133877975464,2.58306047148449,0.00979281567762448,0.0312491412173324
"Fen1",193.423684786428,0.349639140693487,0.135427333540343,2.58174721124027,0.00983015594561927,0.0313487968942989
