"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Rad9a",127.686412769242,0.412030372035166,0.145277455416884,2.83616181776324,0.00456593054485418,0.0234254766460718
"Pex26",36.1024005713749,0.685494874606379,0.241813325084987,2.83481017584725,0.00458529219147002,0.0235057943569902
"Fbxo5",80.030330629885,-0.521936033459172,0.184139024734407,-2.83446724132478,0.00459021638204102,0.0235141572339706
"Mcm7",333.653157595566,-0.425994376972371,0.1502866172321,-2.83454631435661,0.00458908054916724,0.0235141572339706
"Snx13",56.2661525590559,-0.968075241648501,0.341556356071102,-2.83430603600589,0.00459253278068599,0.0235175880866824
"Emilin2",417.269034364389,-0.566140742869659,0.19976914789972,-2.83397485959068,0.00459729485736604,0.0235289027946183
"Gm9892",11.3528468166369,1.29202342292467,0.455935287880574,2.83378684929319,0.00460000029867427,0.0235289027946183
"Map7d1",171.449224544965,0.464366825482764,0.163873294363836,2.83369433247473,0.00460133213173006,0.0235289027946183
"Tgs1",54.3681761402669,0.56507095994649,0.199399405893012,2.83386481226369,0.00459887824773518,0.0235289027946183
"Plekhg2",103.69575848791,-0.583497906649611,0.205975650084873,-2.83284896253114,0.00461351790416017,0.0235827711908431
"Cd300ld",11.2334456748671,-1.68820050109448,0.596076858583261,-2.83218594512618,0.00462309555603133,0.0236232739646653
"Rpl31-ps17",8.22487914361412,1.67960515980257,0.593288726483432,2.83100804857359,0.00464015533901122,0.0237019665778821
"Gm16061",2.24345077925135,3.74989656239029,1.3251348564272,2.82982259820761,0.00465738205861019,0.0237814553310943
"Gpatch4",141.226362459154,0.413197626646822,0.146053976844983,2.82907480900282,0.00466827854027302,0.0238285754511005
