"","baseMean","lgFC_LcDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Lamtor3",108.584674128763,0.918459620577643,0.159137248095484,5.77149367335144,7.85719096315966e-09,1.85294329453838e-07
"Bin1",295.908840597635,-0.552905311933067,0.0958491306552742,-5.7684958450131,7.99821847000731e-09,1.88302070927103e-07
"Dennd1c",202.260891381233,-0.783676435921771,0.135970013023762,-5.76359756459549,8.23396180025866e-09,1.93525826083184e-07
"P4ha1",78.4936113435373,0.997257146890564,0.173035377794921,5.76331360441503,8.24783339485438e-09,1.93526053824474e-07
"Ciao2b",253.758295108754,0.680580329521835,0.118117917609904,5.76187206220073,8.31860463562627e-09,1.94859126372447e-07
"Lama5",31.8517407472603,1.60895052498129,0.27933097436284,5.76001472321978,8.41065994009349e-09,1.96685466371265e-07
"Akirin2",211.902959328915,0.700808248059605,0.121692407392924,5.75884940624781,8.46892138658336e-09,1.97386663569433e-07
"Tusc1",61.4555247123311,1.04617731743875,0.181659018702509,5.75901667261567,8.46053464626356e-09,1.97386663569433e-07
"Septin5",92.1097859219173,1.16897624939171,0.203199777126274,5.75284218282029,8.77554011199574e-09,2.04192192505954e-07
"Lmna",146.051228517306,0.79253607035172,0.137802119428463,5.75126183573066,8.85798014566562e-09,2.05767488874605e-07
"Med30",176.181667750157,-0.631888236789315,0.109991276582569,-5.74489410817013,9.19785283183287e-09,2.1295393596222e-07
"Zc3h12a",173.745850643288,0.849657134971828,0.147894917405999,5.74500564234646,9.19179212916364e-09,2.1295393596222e-07
"Abhd17a",383.728913426422,-0.647531924661063,0.112728264932791,-5.74418425624777,9.23651691391234e-09,2.13495054031672e-07
"Slamf7",276.715192756944,0.921877578954251,0.16054263447106,5.7422601914536,9.34211272367109e-09,2.15578902041607e-07
"Ggt1",11.5760925469993,-3.2688384817091,0.56966806596945,-5.73814590808466,9.57186373437771e-09,2.20516154448263e-07
"Grap",365.642372728619,1.191195107202,0.207913923346806,5.72927049822949,1.00863447927437e-08,2.31985930233104e-07
"Clcn6",46.3127073777982,1.07886833908721,0.188432700897655,5.72548360209082,1.03139508402413e-08,2.36830703422054e-07
"Jhy",26.1507719995112,-1.77837505564158,0.310688153409625,-5.7239873362564,1.04052509429658e-08,2.38143784286468e-07
"Nmral1",52.3506021315251,-1.4944793617327,0.261079315051091,-5.72423503348109,1.03900827299333e-08,2.38143784286468e-07
"Cmtm6",371.372358447171,-0.766922483462795,0.133995187577269,-5.72350766717309,1.04346856130604e-08,2.38426588942612e-07
"Slc16a6",276.264439871946,-0.749226126573123,0.130911836444501,-5.72313510314822,1.04576036548619e-08,2.38559811479619e-07
"Dynll1",606.328230094561,-0.728242888006986,0.127504357166782,-5.71151374109048,1.11975653947039e-08,2.55023181852302e-07
"Rassf5",245.985848458898,-0.655625603076798,0.114871758056033,-5.70745685599235,1.14676676006467e-08,2.60749360541741e-07
"Crybg1",128.8759591456,-0.952107036435323,0.166940640686833,-5.70326693678743,1.17532703421755e-08,2.66740413138971e-07
"Nfkbib",451.143737990337,0.813893990415952,0.142712461634349,5.70303378622445,1.17693642642795e-08,2.66740413138971e-07
"Snx9",114.14158249976,-0.977128068208936,0.171390649435965,-5.7011748973739,1.18984479571932e-08,2.69228901021677e-07
"Nudt19",93.2063736555111,-0.793800494483517,0.139263689015915,-5.69998181214919,1.19820210942072e-08,2.70584418977809e-07
"Pou2af1",310.980643233044,-0.998224471125173,0.175134254234367,-5.69976716142197,1.19971173517129e-08,2.70584418977809e-07
"S1pr1",287.002641865343,-1.12574229040083,0.197572154087294,-5.69787931705922,1.21306868103298e-08,2.73155675095184e-07
"Eif1",1584.42318965892,0.673102669733176,0.118281237268398,5.69069689561841,1.26521924481854e-08,2.8444003022402e-07
"Maff",27.27303775103,1.95572883119823,0.343822866091976,5.68818721520126,1.28395020152803e-08,2.88186957613068e-07
"Cntnap1",12.5152282116086,2.20657319642647,0.38795575303801,5.68769293700945,1.28767086415075e-08,2.88558153040266e-07
"Nedd9",147.200010193156,-0.814604423631371,0.143281792692993,-5.6853310411659,1.30559506843643e-08,2.92105973564761e-07
"Pdcd6ip",548.463569921268,0.468480471955108,0.082424788881811,5.68373274970546,1.31786162414155e-08,2.94378658154242e-07
"Card11",131.660736635778,-1.00250256824762,0.176407813124838,-5.68286942902115,1.324533931045e-08,2.95396457049828e-07
"Csf2rb",1739.67267511478,0.727863031519536,0.128124474657522,5.68090549026735,1.33983501835581e-08,2.98332323624649e-07
"Rpa1",229.071148233371,-0.717342381431159,0.126310292206532,-5.67920767896114,1.35320098533572e-08,3.00828645800509e-07
"Selenom",116.99120928707,-1.02372355112504,0.180470985968069,-5.67251043503563,1.4071994599423e-08,3.12335638477813e-07
"Hsh2d",140.92853933959,-1.04488127341576,0.184226426553865,-5.67172306905847,1.41368369504177e-08,3.13276794706002e-07
"Nqo1",38.8324551703111,2.7269429011111,0.480828949577844,5.67133676852297,1.41687561994306e-08,3.13486537718305e-07
"Coro7",201.721203543834,-0.691203767572004,0.121968501241092,-5.66706781290783,1.45261863763896e-08,3.20886215191099e-07
"Smg5",164.604669530601,0.768770006853201,0.135734533677126,5.66377609313402,1.48077604992239e-08,3.26589485512899e-07
"Arap3",199.954718913593,0.840105282621398,0.148353243690303,5.6628710078977,1.48861063155442e-08,3.2779957456043e-07
"Plxnd1",241.074424192306,0.763377860599823,0.134812056010519,5.66253407291894,1.49153747406074e-08,3.27926845281292e-07
"Dtl",31.8504079115933,-1.50400981486834,0.265730325963795,-5.65991032229139,1.51452116197961e-08,3.32456445635178e-07
"Dgkd",318.053945224282,-0.569662332773496,0.100725342352926,-5.65560085938939,1.55301997861251e-08,3.40372243664194e-07
"Kifc3",11.3251277349728,2.9758736300784,0.52700557829437,5.6467592614668,1.63500526013616e-08,3.57779129102836e-07
"Abhd4",103.933990113605,0.884641127552941,0.156861672824562,5.63962573918453,1.70420167932704e-08,3.72337396636695e-07
"Scml4",38.2255544329975,-1.45709255875361,0.258477900718093,-5.63720362439333,1.72833703716306e-08,3.77020521497399e-07
"Tubb2a",180.897690339161,0.721056459934232,0.127920875558734,5.63673799749098,1.73301470239486e-08,3.77451142903818e-07
"Orai3",112.516645435887,-0.758548532339049,0.134620562877687,-5.63471520341396,1.75347870230233e-08,3.81313335869826e-07
"Hes1",28.696827382035,-1.74773047690315,0.310235462676744,-5.63356123707958,1.76525795042242e-08,3.83277857633708e-07
"5430416N02Rik",80.3711249272905,0.914225913679204,0.162344192507822,5.63140510021728,1.78747322621642e-08,3.87498660111916e-07
"Ero1b",79.350916782795,-1.21678304606092,0.216381351086341,-5.6233267790966,1.87314583332571e-08,4.05441689597834e-07
"Rbm43",72.9645642128163,-0.951538954762933,0.169298241725223,-5.6204892919521,1.90417394218275e-08,4.11519696699897e-07
"Niban2",92.3581248286986,1.18533720133544,0.211084717674009,5.61545721735302,1.96043160361562e-08,4.22370148427124e-07
"Prrg2",37.7489925131713,1.46172447526314,0.260293668935398,5.61567433138729,1.95797134269838e-08,4.22370148427124e-07
"Mcoln1",117.56307708562,0.809513480323561,0.144225253260517,5.6128414547577,1.99030945312028e-08,4.28146537365365e-07
"Rnh1",791.500719354333,0.427024515732901,0.0760874254711499,5.61228761636594,1.99669199927652e-08,4.28858723106146e-07
"Niban3",191.971189598659,1.33591731254051,0.238471814362105,5.6019924875147,2.11901742195811e-08,4.54433213947116e-07
"Uqcrq",799.153139490179,0.49577896852663,0.0885077342672558,5.60153270932897,2.12464684210627e-08,4.54941634396406e-07
"Dok2",70.960189896482,-0.887096622002702,0.158441212632298,-5.59890073589267,2.15715263790551e-08,4.60784472365629e-07
"Dynlt2b",66.7817581797831,-1.202669163485,0.214808777033821,-5.59878967746109,2.15853481073792e-08,4.60784472365629e-07
"Anxa7",316.985006708115,0.531642687248199,0.0949715836305139,5.59791325915497,2.16947243920743e-08,4.62412285859158e-07
"Pclaf",32.2723861040162,-1.32043396100658,0.235936652392631,-5.5965613973754,2.18644913528517e-08,4.65320371611528e-07
"Atp1b3",782.372574010433,0.553875590204546,0.0989794499104189,5.59586450223586,2.19525105625823e-08,4.66482496140351e-07
"Pdia6",628.05047990199,-0.659519349833995,0.117873440224102,-5.59514805523714,2.20433577529163e-08,4.67701090559977e-07
"Opa3",97.9726081682031,0.795300583967721,0.142231804636334,5.59158049074317,2.25011940766032e-08,4.76690698791285e-07
"Dclk2",19.5592405183109,-1.91184705998749,0.342066026527771,-5.58911704677073,2.28227086317281e-08,4.82769447284175e-07
"Ehd4",121.733581379111,-0.932925956448807,0.166977756151862,-5.58712715962201,2.30856689340796e-08,4.87593077138707e-07
"Rfc1",143.133683963522,-0.822928815374696,0.147391721552886,-5.58327704367995,2.36028303995665e-08,4.97763013909891e-07
"Csk",861.494276736963,-0.538298495118232,0.0964410031439846,-5.58163517144842,2.38267768519083e-08,5.01727951175704e-07
"Prr5",47.5521695683767,-1.15647511502878,0.207502299301121,-5.5733122906293,2.49940938375019e-08,5.25515879616512e-07
"Larp1",169.166783343952,0.701062121981579,0.125887814591258,5.56894346174679,2.56288623903779e-08,5.38051951627166e-07
"Skap1",90.2733195380654,-1.14939784415819,0.206521700245792,-5.56550639855395,2.61392191043312e-08,5.47942399272624e-07
"Eeig1",160.109210851617,-0.872657597613606,0.156905000145684,-5.5616939983006,2.67168459235752e-08,5.59211223296901e-07
"Zbtb20",61.4666203532064,-1.33690767370964,0.240390681491492,-5.56139558078901,2.67625790382239e-08,5.59329889150664e-07
"Pip4k2a",246.406277290936,-0.772163898304271,0.138976934587377,-5.55605792138695,2.75935340649433e-08,5.75834572616851e-07
"Pdcd4",51.0491207924301,-1.27272467258293,0.229133336704943,-5.55451550998809,2.78382796475795e-08,5.80074958447547e-07
"Cpm",49.8899227525419,-1.09967113880824,0.198217511276447,-5.54780015008146,2.8928626682968e-08,6.01896508376925e-07
"Cryl1",26.1838409358182,-1.42126239054417,0.25626404721426,-5.54608578922452,2.92135529140463e-08,6.06920256299107e-07
"Elovl1",339.167609808383,0.736407384562187,0.132982674443972,5.5376189991761,3.06611361471304e-08,6.36047729197752e-07
"Scd1",232.52125871264,-1.50074115681422,0.271150819640077,-5.53471001417694,3.11743694065778e-08,6.45734972233283e-07
"Rogdi",294.441692585159,-0.696226399113601,0.125868612694975,-5.53137421797765,3.17731660680178e-08,6.57163217000884e-07
"Slc2a6",163.390457219031,0.893564788918212,0.161585119655203,5.52999428923242,3.20241212936564e-08,6.61373901450795e-07
"Jade1",119.871272678371,0.82114730858188,0.148537223022621,5.528225800053,3.23485529838475e-08,6.67087368105606e-07
"Bpgm",60.0515199305829,-1.34321377110504,0.243319800173204,-5.52036361261555,3.38298885582587e-08,6.96606304073525e-07
"Pea15a",71.1925684437298,0.902828572108906,0.16358953362635,5.51886512599901,3.41195930833977e-08,7.01537023619021e-07
"Rtl6",17.2668847141621,-2.1446611741065,0.388674172585935,-5.51788959847165,3.43094848756658e-08,7.0440399757231e-07
