"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Lrrc75b",3.93647965197154,-2.21127678117559,0.725178374492217,-3.04928671200926,0.00229385449288379,0.00882384172601567
"Ccdc107",141.184607301948,0.330100249198774,0.108258512926132,3.04918514282577,0.00229463020714819,0.00882468896174371
"Lgals9",594.973123284693,-0.490261406047693,0.160810343153479,-3.04869323971147,0.00229839041941564,0.00883701079217238
"Cit",85.9230264005447,0.534443941659675,0.17531207293726,3.04852901859725,0.00229964701673208,0.00883970291672456
"Gpr108",148.683145304489,0.389677886403557,0.127838261220328,3.04821015777076,0.00230208869309258,0.00884694800850551
"Bcar3",402.835396515395,0.706491600573184,0.231902763157995,3.046499278199,0.00231523035071647,0.00889529977795225
"C430049B03Rik",2.88812708483762,2.57654969325419,0.846073721626405,3.04530164144714,0.00232447051677347,0.00892864194873795
"Tprn",22.9498979861761,0.891692792340967,0.292883679757132,3.04452878043729,0.00233045131330647,0.00894945129671257
"Sf3b6",77.9089471138798,-1.64946267975158,0.541883573917454,-3.04394294115075,0.00233499422557123,0.00896473012606333
"Dapk1",16.2592446440079,-0.889767872314589,0.292359866937809,-3.04339949813926,0.00233921562355431,0.0089787674828237
"Sclt1",13.7933775336283,-1.01977197344465,0.335130274786315,-3.04291211557916,0.00234300749414078,0.00899114977280545
"Clec4d",275.27621531865,0.971456054424647,0.319325446544967,3.04221309305473,0.00234845576443113,0.00900988088131306
"Ptdss1",139.363993372279,0.377810305796252,0.124211971047353,3.0416577614103,0.00235279235594677,0.00902433900505224
"Ap1m2",10.3529826025117,-1.29162710523199,0.424771435850833,-3.04075791406457,0.00235983484384644,0.00904698266510338
"Slc30a4",5.91378791851397,-1.50893971695376,0.496230476083957,-3.04080420223619,0.00235947210771437,0.00904698266510338
"Nsd3",269.369096115847,-0.355888210521607,0.117042396970572,-3.04067773501844,0.00236046328581775,0.00904720873866987
