"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lfcSE","stat","pvalue","padj"
"Tarm1",514.918107953039,5.72073874360426,0.582874431774408,9.81470181525887,9.73252997542203e-23,4.95814297591183e-21
"Pnp2",52.9972169557814,5.95707391455116,0.610934064505924,9.75076405236755,1.83085064334557e-22,9.12284811445151e-21
"Tut7",253.386128211168,1.92333671820159,0.199343379899468,9.64836012699072,4.99480430240222e-22,2.38440780212229e-20
"Lyn",349.463231696217,1.50176175474999,0.155996299025816,9.62690630565192,6.15548037534073e-22,2.89795770912162e-20
"Casp3",392.549782834017,1.96592910549205,0.205599789832228,9.56192176604982,1.15590053866922e-21,5.33159123461178e-20
"Abr",631.549213528536,1.30721795352149,0.138988901628563,9.40519666106095,5.19329963308322e-21,2.3095804524588e-19
"Zyx",1555.93194577999,2.28032190329774,0.244465890729792,9.32777123422172,1.08120474746211e-20,4.76183497325811e-19
"Stk40",265.514502265436,2.27197365559908,0.2444950196424,9.29251507422146,1.50684785672589e-20,6.57284146577589e-19
"Mcmbp",307.605708741295,1.47060829922395,0.158783906828016,9.26169615423818,2.01210072666966e-20,8.69342127253823e-19
"Gpd2",103.886206660653,2.59783662118449,0.280976784415133,9.24573404380017,2.33631513351918e-20,1.00623692485607e-18
"Ube2f",244.094176240895,1.53987811277765,0.168631335882828,9.13162494216151,6.74787327926963e-20,2.87005339195851e-18
"Gpr84",135.848977501823,5.91613526289464,0.654229378975247,9.0429067434443,1.52560010434902e-19,6.35031043435279e-18
"Slc25a25",87.5553381760478,2.31046132496871,0.256835059766971,8.99589536983391,2.34314402003286e-19,9.60689048213471e-18
"Plet1",68.4170302553686,5.77919313845038,0.645744553371637,8.94965835681522,3.56584251513743e-19,1.43189552526975e-17
"Flrt3",107.930773749328,4.57726443593412,0.511993750978404,8.94007871617009,3.88893254765379e-19,1.55705560331722e-17
"Lnpk",55.5251900635656,3.1930265882765,0.357817040372768,8.92362919594342,4.5125282141723e-19,1.79619672618351e-17
"Ikzf1",174.276624398084,2.03452790176012,0.228492834354008,8.90412124963178,5.38106096287319e-19,2.13568678273569e-17
"Mtpn",529.039005783964,1.69213030151061,0.190285537640401,8.89258491472104,5.97034996727133e-19,2.3547363943018e-17
"Traf5",144.133954413696,2.52573521583979,0.286056576550887,8.82949536169981,1.05149045845927e-18,4.04394344488577e-17
"Akna",151.071395437452,1.92223375809561,0.217751052049875,8.82766691595745,1.06881795892985e-18,4.09903696440149e-17
"Dram1",196.74627049835,1.56374401496522,0.177932294538954,8.78842156797389,1.5167587086009e-18,5.75230740236891e-17
"Slc39a14",86.003047915234,2.6270534416227,0.2993482334251,8.77591095682886,1.69525927428344e-18,6.41146118332182e-17
"Nupr1",88.7094065964162,3.51188367902716,0.402537611855477,8.7243615890682,2.67686480171864e-18,9.98558337100127e-17
"Cst7",131.159637977568,2.85933268796438,0.328943844303494,8.69246449654267,3.54660684640307e-18,1.30869792632273e-16
"Mefv",57.9704258420832,4.19524589344643,0.483569718969998,8.67557609352029,4.11462160737177e-18,1.50205691993173e-16
"Cish",457.675467172859,3.72465674919399,0.433259835950894,8.59681982988183,8.19555016187216e-18,2.93684636115592e-16
"Filip1l",143.544833609724,3.18430670098561,0.37087342437647,8.58596623993541,9.00761195432059e-18,3.21099023530911e-16
