InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
18099	15258	IntAct	1	1	1	15082531
18099	17863	IntAct	2	2	1	15082531
13649	13858	MINT, Biogrid	1	1	2	10953014, 16862145
60	56444	IntAct, Biogrid	1	1	1	12857853
10120	56444	IntAct	2	2	1	12857853
19041	22352	IntAct, Biogrid	1	1	2	12244133, 19029034
1956	20416	IntAct	2	2	1	8887653
5970	18035	MINT	1	1	1	9150141
18036	5970	MINT	1	1	1	9150141
5566	18035	MINT	1	1	1	9150141
5566	18036	MINT	1	1	1	9150141
226548	59287	MINT, Biogrid	2	2	1	15146195
19122	11816	MINT, Biogrid	2	2	2	15146195, 32325033
17967	19122	MINT, Biogrid	2	2	2	15146195, 32325033
13483	19122	MINT, Biogrid	2	2	3	15146195, 24225951, 32325033
17968	19122	MINT, Biogrid	2	2	2	15146195, 32325033
12805	19122	MINT, Biogrid	2	2	2	15146195, 32325033
19122	17136	MINT, Biogrid	2	2	2	15146195, 32325033
19122	13429	MINT, Biogrid	2	2	1	15146195
19122	17441	MINT, Biogrid	2	2	1	15146195
19122	11803	MINT	2	2	1	15146195
12759	19122	MINT, Biogrid	2	2	2	15146195, 32325033
58235	19122	MINT, Biogrid	2	2	2	15146195, 32325033
23792	19122	MINT, Biogrid	2	2	1	15146195
18453	19122	MINT, Biogrid	2	2	1	15146195
13602	19122	MINT, Biogrid	2	2	2	15146195, 32325033
19122	65945	MINT, Biogrid	2	2	2	15146195, 32325033
11804	19122	MINT, Biogrid	2	2	2	15146195, 32325033
19122	14828	MINT, Biogrid	2	2	2	15146195, 32325033
19122	11785	MINT, Biogrid	2	2	1	15146195
18140	319180	MINT	1	1	1	14993289
18140	319183	MINT	1	1	1	14993289
18140	319185	MINT	1	1	1	14993289
18140	319187	MINT	1	1	1	14993289
18140	665596	MINT	1	1	1	14993289
18140	665622	MINT	1	1	1	14993289
18140	8350	MINT, Biogrid	1	1	2	14993289, 30392929
18140	8351	MINT	1	1	1	14993289
18140	8352	MINT	1	1	1	14993289
18140	8353	MINT	1	1	1	14993289
18140	8354	MINT	1	1	1	14993289
18140	8355	MINT	1	1	1	14993289
18140	8356	MINT	1	1	1	14993289
18140	8357	MINT	1	1	1	14993289
18140	8358	MINT	1	1	1	14993289
18140	8968	MINT	1	1	1	14993289
18140	319164	MINT	1	1	1	14993289
18140	319165	MINT	1	1	1	14993289
18140	319166	MINT	1	1	1	14993289
18140	319167	MINT	1	1	1	14993289
18140	319170	MINT	1	1	1	14993289
18140	319171	MINT	1	1	1	14993289
18140	319172	MINT	1	1	1	14993289
18140	319191	MINT	1	1	1	14993289
18140	665433	MINT	1	1	1	14993289
18140	121504	MINT	1	1	1	14993289
18140	554313	MINT	1	1	1	14993289
18140	8294	MINT	1	1	1	14993289
18140	8359	MINT	1	1	1	14993289
18140	8360	MINT	1	1	1	14993289
18140	8361	MINT	1	1	1	14993289
18140	8362	MINT	1	1	1	14993289
18140	8363	MINT	1	1	1	14993289
18140	8364	MINT	1	1	1	14993289
18140	8365	MINT	1	1	1	14993289
18140	8366	MINT	1	1	1	14993289
18140	8367	MINT	1	1	1	14993289
18140	8368	MINT	1	1	1	14993289
18140	8370	MINT	1	1	1	14993289
12912	17927	MINT	2	2	1	12665587
25	11308	IntAct	2	2	1	9010225
11308	2059	IntAct	2	2	1	9010225
