"","GeneNameA","GeneNameB"
"9956","Phc2","Bmi1"
"9964","Dnmt3b","Bmi1"
"9968","Eed","Bmi1"
"9972","Cbx2","Bmi1"
"9980","Phc3","Bmi1"
"10028","Sfrp2","Bmp1"
"10030","Col1a1","Bmp1"
"10032","Bgn","Bmp1"
"10040","Chrdl2","Bmp2"
"10041","Bmper","Bmp4"
"10042","Chrdl2","Bmp4"
"10043","Chrdl2","Bmp5"
"10044","Chrdl2","Bmp6"
"10045","Gdf7","Bmp7"
"10046","Chrdl2","Bmp7"
"10047","Twsg1","Bmp7"
"10048","Smad6","Bmpr1a"
"10050","Smad7","Bmpr1a"
"10055","Smad7","Bmpr2"
"10061","Prkg1","Bmpr2"
"10065","Smad6","Bmpr2"
"10075","Bcl2","Bnip3"
"10083","Rheb","Bnip3"
"10087","Sh3rf1","Bnip3l"
"10091","Palb2","Brca1"
"10094","Tcf3","Brca1"
"10097","Nf1","Brca1"
"10100","Ubc","Brca1"
"10103","Npm1","Brca1"
"10106","Hoxc12","Brca1"
"10109","Brca1","Brca1"
"10112","Ezh2","Brca1"
"10115","Ubb","Brca1"
"10118","Atf2","Brca1"
"10124","Ewsr1","Brca1"
"10127","Uba52","Brca1"
"10133","Rps27a","Brca1"
"10139","Olig1","Brca1"
"10148","Mdc1","Brca1"
"10163","Rad51","Brca1"
"10178","Hoxa2","Brca1"
"10220","Cdk2","Brca2"
"10223","Nanog","Brca2"
"10229","Brca1","Brca2"
"10253","Pcbd1","Zfp36l1"
"10254","Itgb3","Birc6"
"10256","Rnf41","Birc6"
"10258","Rab11a","Birc6"
"10264","Itgb2","Birc6"
"10278","Desi1","Bsg"
"10279","Grin1","Bsn"
"10281","Ppp1r9b","Bsn"
"10291","Fbxw7","Klf5"
"10299","Cnot7","Btg1"
"10301","Cnot8","Btg1"
"10302","Cnot7","Btg2"
"10304","Man2b1","Btk"
"10307","Arid3a","Btk"
"10310","Glul","Btk"
"10313","Eef1a2","Btk"
"10316","Pfkp","Btk"
"10319","Actc1","Btk"
"10322","Mrc1","Btk"
"10325","Cbx1","Btk"
