"","GeneNameA","GeneNameB"
"785","Pex5l","Ap2a1"
"786","Eps15","Ap2a1"
"787","Cyfip2","Ap2a1"
"788","Rara","Ap2a1"
"789","Agap2","Ap2a1"
"790","Dlg4","Ap2a1"
"791","Pip5k1c","Ap2a1"
"792","Tnik","Ap2a1"
"793","Atp1b1","Ap2a1"
"794","Ywhab","Ap2a1"
"795","Ywhae","Ap2a1"
"796","Fxr1","Ap2a1"
"797","Ywhaz","Ap2a1"
"798","Eed","Ap2a1"
"799","Ubc","Ap2a1"
"800","Cav3","Ap2a1"
"801","Rab32","Ap2a1"
"802","Necap1","Ap2a1"
"803","Nckap1","Ap2a1"
"804","Grin2b","Ap2a1"
"805","Sgip1","Ap2a1"
"806","Snap25","Ap2a1"
"807","Atp6v1a","Ap2a1"
"808","Cyfip1","Ap2a1"
"809","Foxp3","Ap2a1"
"810","Ywhae","Ap2a2"
"811","Atp6v1a","Ap2a2"
"812","Dnm1","Ap2a2"
"813","Rara","Ap2a2"
"814","Ubc","Ap2a2"
"815","Cav3","Ap2a2"
"816","Tnik","Ap2a2"
"817","Fxr1","Ap2a2"
"818","Hsd3b4","Ap2a2"
"819","Ywhab","Ap2a2"
"820","Eed","Ap2a2"
"821","Pex5l","Ap2a2"
"822","Ywhaz","Ap2a2"
"823","Amph","Ap2a2"
"824","Agap2","Ap2a2"
"825","Rara","Ap2m1"
"826","Pgls","Ap2m1"
"827","Ctla4","Ap2m1"
"828","Ubc","Ap2m1"
"829","Atp6v1a","Ap2m1"
"830","Ywhab","Ap2m1"
"831","Hsd3b4","Ap2m1"
"832","Ywhae","Ap2m1"
"833","Pou5f1","Ap2m1"
"834","Eed","Ap2m1"
"835","Hsd3b7","Ap2m1"
"836","Eed","Ap3b1"
"837","Rab32","Ap3b1"
"838","Ywhae","Ap3b1"
"839","Dtnbp1","Ap3b2"
"840","Fancd2","Ap3b2"
"841","Ywhae","Ap3b2"
"842","Atp6v1a","Ap3b2"
"843","Hspb2","Ap3d1"
"844","Sod1","Ap3d1"
"845","Ywhab","Ap3d1"
"846","Dlst","Ap3d1"
"847","Ubc","Ap3d1"
"848","Ywhae","Ap3d1"
"849","Kif3a","Ap3d1"
"850","Ap1g1","Ap3d1"
